Size,Seconds
100000,0.000002
10000,0.000002
10000001,0.000003
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000005
50001,0.000002
5000001,0.000010
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000005
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000003
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000003
20001,0.000001
2000000,0.000003
30001,0.000010
3000000,0.000003
40001,0.000002
50001,0.000001
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000002
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000001
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000002
20001,0.000001
2000000,0.000004
30001,0.000001
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000002
10000001,0.000004
1000,0.000002
1000000,0.000002
20001,0.000001
2000000,0.000003
30001,0.000014
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000001
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000003
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000004
10000001,0.000004
1000,0.000001
1000000,0.000003
20001,0.000001
2000000,0.000003
30001,0.000001
3000000,0.000003
40001,0.000020
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000002
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000001
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000002
40001,0.000003
50001,0.000003
5000001,0.000005
60001,0.000002
70001,0.000003
80001,0.000002
90001,0.000004
100000,0.000003
10000,0.000003
10000001,0.000003
1000,0.000006
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000004
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000022
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000006
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000003
80001,0.000002
90001,0.000003
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000005
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000002
10000001,0.000003
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000004
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000002
10000001,0.000012
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000003
10000,0.000002
10000001,0.000004
1000,0.000001
1000000,0.000003
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000001
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000002
10000,0.000001
10000001,0.000004
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000004
30001,0.000001
3000000,0.000012
40001,0.000002
50001,0.000001
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
90001,0.000002
100000,0.000003
10000,0.000001
10000001,0.000003
1000,0.000001
1000000,0.000002
20001,0.000002
2000000,0.000003
30001,0.000002
3000000,0.000003
40001,0.000002
50001,0.000002
5000001,0.000003
60001,0.000002
70001,0.000002
80001,0.000002
