Size,Seconds
100000,2.813254
10000,0.031093

1001,0.000298

20001,0.110561

30001,0.251380

40001,0.443085
50001,0.697149

60001,1.021773
70001,1.364713
80001,1.790143
90001,2.290011
100000,2.826624
10000,0.029524

1001,0.000374

20001,0.120009

30001,0.252687

40001,0.445315
50001,0.688480

60001,1.013710
70001,1.373401
80001,1.774874
90001,2.309767
100000,2.892021
10000,0.032899

1001,0.000318

20001,0.111868

30001,0.252003

40001,0.465147
50001,0.713147

60001,1.065340
70001,1.369296
80001,1.791968
90001,2.310383
100000,2.887380
10000,0.028800

1001,0.000323

20001,0.116912

30001,0.259373

40001,0.444464
50001,0.718631

60001,1.031876
70001,1.491143
80001,1.835331
90001,2.300654
100000,2.847372
10000,0.028734

1001,0.000297

20001,0.115986

30001,0.272491

40001,0.489173
50001,0.714385

60001,1.040713
70001,1.424259
80001,1.816602
90001,2.324825
100000,3.048507
10000,0.029693

1001,0.000322

20001,0.111272

30001,0.267243

40001,0.445517
50001,0.723915

60001,1.090740
70001,1.438281
80001,1.915165
90001,2.313354
100000,2.957117
10000,0.028845

1001,0.000312

20001,0.112741

30001,0.252380

40001,0.451655
50001,0.753288

60001,1.073391
70001,1.427330
80001,1.889735
90001,2.304252
100000,2.957928
10000,0.028602

1001,0.000354

20001,0.122413

30001,0.266664

40001,0.492187
50001,0.744589

60001,1.086929
70001,1.389742
80001,1.826376
90001,2.327188
100000,2.956321
10000,0.032440

1001,0.000314

20001,0.112725

30001,0.252584

40001,0.452710
50001,0.696237

60001,1.014084
70001,1.483695
80001,1.871133
90001,2.284686
100000,3.045473
10000,0.031432

1001,0.000301

20001,0.125606

30001,0.249821

40001,0.438164
50001,0.685346

60001,1.050687
70001,1.400382
80001,1.836897
90001,2.382640
100000,2.891388
10000,0.031872

1001,0.000307

20001,0.110806

30001,0.247418

40001,0.459974
50001,0.688932

60001,1.035828
70001,1.415805
80001,1.830425
90001,2.329146
100000,2.929966
10000,0.030841

1001,0.000314

20001,0.118547

30001,0.257911

40001,0.476759
50001,0.739551

60001,1.072692
70001,1.443009
80001,1.861276
90001,2.275615
100000,3.118622
10000,0.028965

1001,0.000338

20001,0.113541

30001,0.250344

40001,0.484840
50001,0.738033

60001,1.105684
70001,1.473837
80001,1.844286
90001,2.352632
100000,2.971982
10000,0.028383

1001,0.000311

20001,0.117437

30001,0.282037

40001,0.449830
50001,0.713355

60001,1.057470
70001,1.423844
80001,1.802185
90001,2.353026
100000,2.908052
10000,0.031198

1001,0.000402

20001,0.119711

30001,0.251286

40001,0.476327
50001,0.751849

60001,1.084949
70001,1.477235
80001,1.842386
90001,2.297823
100000,2.966329
10000,0.029742

1001,0.000301

20001,0.120179

30001,0.286249

40001,0.450849
50001,0.722961

60001,1.062951
70001,1.432325
80001,1.837251
90001,2.363019
100000,2.885705
10000,0.029000

1001,0.000362

20001,0.118677

30001,0.270721

40001,0.488547
50001,0.687993

60001,1.095442
70001,1.436569
80001,1.951624
90001,2.377437
100000,2.965780
10000,0.028818

1001,0.000307

20001,0.114434

30001,0.266192

40001,0.467186
50001,0.713767

60001,0.979841
70001,1.421851
80001,2.018336
90001,2.286956
100000,3.042775
10000,0.030658

1001,0.000301

20001,0.130803

30001,0.252993

40001,0.443203
50001,0.792495

60001,1.141081
70001,1.462445
80001,1.826963
90001,2.438013
100000,3.058606
10000,0.030117

1001,0.000315

20001,0.112170

30001,0.273189

40001,0.454149
50001,0.698032

60001,1.064473
70001,1.393153
80001,2.009284
90001,2.412337
100000,2.937291
10000,0.028694

1001,0.000391

20001,0.112519

30001,0.273298

40001,0.454423
50001,0.725775

60001,1.079036
70001,1.419144
80001,1.868316
90001,2.371306
100000,3.055329
10000,0.032825

1001,0.000425

20001,0.123412

30001,0.251787

40001,0.461133
50001,0.696538

60001,1.079380
70001,1.430380
80001,1.898371
90001,2.469257
100000,2.923293
10000,0.029634

1001,0.000364

20001,0.120804

30001,0.287521

40001,0.493823
50001,0.693142

60001,1.093249
70001,1.442971
80001,1.829232
90001,2.265279
100000,3.008962
10000,0.028585

1001,0.000318

20001,0.121287

30001,0.275146

40001,0.471625
50001,0.707265

60001,1.062276
70001,1.495135
80001,1.903766
90001,2.359215
100000,2.924169
10000,0.029369

1001,0.000348

20001,0.113812

30001,0.280581

40001,0.471655
50001,0.764975

60001,1.109109
70001,1.517217
80001,1.900488
90001,2.311103
100000,2.981619
10000,0.028580

1001,0.000336

20001,0.119511

30001,0.279942

40001,0.494228
50001,0.740175

60001,1.037658
70001,1.475466
80001,1.873022
90001,2.254127
100000,3.042720
10000,0.029311

1001,0.000330

20001,0.112734

30001,0.276984

40001,0.450967
50001,0.765523

60001,1.087055
70001,1.429840
80001,1.849237
90001,2.415699
100000,2.991498
10000,0.028736

1001,0.000320

20001,0.127622

30001,0.257999

40001,0.463692
50001,0.747657

60001,1.049563
70001,1.454006
80001,1.887078
90001,2.385992
100000,3.189548
10000,0.028865

1001,0.000475

20001,0.112144

30001,0.280131

40001,0.484971
50001,0.727028

60001,1.156694
70001,1.463584
80001,1.933676
90001,2.331268
100000,3.016102
10000,0.028423

1001,0.000348

20001,0.114141

30001,0.288644

40001,0.442690
50001,0.724208

60001,1.075517
70001,1.490231
80001,1.989187
90001,2.368864
