Size,Seconds
100000,2.656780
100000,2.678292
100000,2.673984
100000,2.671419
100000,2.693084
100000,2.934310
100000,2.714045
100000,2.671173
100000,2.706306
100000,2.707396
100000,2.733562
100000,2.618292
100000,2.669574
100000,2.650488
100000,2.661344
100000,2.780183
100000,2.662811
100000,2.660955
100000,2.657934
100000,2.745122
100000,2.662294
100000,2.769874
100000,2.699645
100000,2.771017
100000,2.635607
100000,2.720790
100000,2.618228
100000,2.755969
100000,2.673579
100000,2.715600
100000,2.623750
100000,2.700503
100000,2.658713
100000,2.738387
100000,2.745723
100000,2.620621
100000,2.710692
100000,2.715084
100000,2.743467
100000,2.718172
100000,2.745753
100000,2.615587
100000,2.773271
100000,2.636745
100000,2.713314
100000,2.707771
100000,2.691726
100000,2.660195
100000,2.786572
100000,2.660686
100000,2.671623
100000,2.669663
100000,2.667744
100000,2.694412
100000,2.737384
100000,2.899551
100000,2.649456
100000,2.726081
100000,2.658045
100000,2.662999
100000,2.676518
100000,2.789207
100000,2.657855
100000,2.681880
100000,2.643721
100000,2.797714
100000,2.616932
100000,2.719340
100000,2.607935
100000,2.757076
100000,2.651608
100000,2.713260
100000,2.670286
100000,2.704810
100000,2.775540
100000,2.712929
100000,2.709008
100000,2.760796
100000,2.776070
100000,2.622208
100000,2.775673
100000,2.645738
100000,2.798765
100000,2.634826
100000,2.761973
100000,2.790189
100000,2.743353
100000,2.673012
100000,2.708853
100000,2.825695
100000,2.795508
100000,2.724486
100000,2.675083
100000,2.662185
100000,2.668994
100000,2.762167
100000,2.643782
100000,2.799058
100000,2.701350
100000,2.745713
100000,2.670210
100000,2.672161
100000,2.687324
100000,2.803305
100000,2.762822
100000,2.785401
100000,2.669329
100000,2.754839
100000,2.834215
100000,2.769832
100000,2.613393
100000,2.804053
100000,2.625368
100000,2.732710
100000,2.821058
100000,2.858987
100000,2.707245
100000,2.852664
100000,2.740704
100000,2.754626
100000,2.719602
100000,2.713491
100000,2.841258
100000,2.707320
100000,2.771672
100000,2.711471
100000,2.706944
100000,2.685339
100000,2.745012
100000,2.685246
100000,2.773848
100000,2.700576
100000,2.737110
100000,2.652326
100000,2.720652
100000,2.806090
100000,2.748355
100000,2.659739
100000,2.734158
100000,2.678013
100000,2.825395
100000,2.734722
100000,2.695884
100000,2.682178
100000,2.770091
100000,2.729849
100000,2.659689
100000,2.719475
100000,2.641314
100000,2.745742
100000,2.615259
100000,2.748060
100000,2.689446
100000,2.751164
100000,2.632922
100000,2.802544
100000,2.775365
100000,2.782830
100000,2.739801
100000,2.694067
100000,2.669826
100000,2.744615
100000,2.726017
100000,2.691898
100000,2.846941
100000,2.678698
100000,2.904884
100000,2.704357
100000,2.749362
100000,2.681523
100000,2.733699
100000,2.655428
100000,2.741119
100000,2.651258
100000,2.870311
100000,2.715380
100000,2.842104
100000,2.657302
100000,2.748223
100000,2.742133
100000,2.782045
100000,2.674310
100000,2.797908
100000,2.685635
100000,2.721871
100000,2.675296
100000,2.797698
100000,2.731920
100000,2.866083
100000,2.697241
100000,2.747193
100000,2.709358
100000,2.746279
100000,2.760201
100000,2.683009
100000,2.673316
100000,2.669896
100000,2.786483
100000,2.702163
100000,2.737029
100000,2.659521
100000,2.737494
100000,2.669776
100000,2.865448
100000,2.648044
100000,2.769741
100000,2.643169
100000,2.749461
100000,2.873329
100000,2.759238
100000,2.726623
100000,2.765485
100000,2.827119
100000,2.686210
100000,2.738288
100000,2.606833
100000,2.840191
100000,2.732539
100000,2.920704
100000,2.629784
100000,2.898328
100000,2.658120
100000,2.772882
100000,2.700693
100000,2.901438
100000,2.677387
100000,2.794206
100000,2.666615
100000,2.830385
100000,2.692109
100000,2.750678
100000,2.607780
100000,2.787282
100000,2.643303
100000,2.773155
100000,2.642936
100000,2.702060
100000,2.670558
100000,2.659424
100000,2.901410
100000,2.615711
100000,2.771185
100000,2.685542
100000,2.807056
100000,2.668887
100000,2.778193
100000,2.609167
100000,2.911363
100000,2.635851
100000,2.798386
100000,2.765600
100000,2.768442
100000,2.693833
100000,2.682199
100000,2.658147
100000,2.804295
100000,2.698522
100000,2.714386
100000,2.666659
100000,2.646404
100000,2.707741
100000,2.746436
100000,2.836043
100000,2.673393
100000,2.784199
100000,2.696942
100000,2.693810
100000,2.649223
100000,2.725210
100000,2.795946
100000,2.827561
100000,2.654055
100000,2.781285
100000,2.610036
100000,2.787126
100000,2.645196
100000,2.743919
100000,2.752644
100000,2.697988
100000,2.754762
100000,2.663459
100000,2.807502
100000,2.854573
100000,2.744920
100000,2.642793
100000,2.892804
100000,2.754095
100000,2.800718
100000,2.652601
100000,2.745020
100000,2.654519
100000,2.803607
100000,2.664818
100000,2.739643
100000,2.746737
100000,2.750781
100000,2.642067
100000,2.942882
100000,2.829188
100000,2.807748
100000,2.758515
100000,2.840911
100000,2.746453
100000,2.727510
100000,2.631982
100000,2.704260
100000,2.690542
100000,2.631225
100000,2.733260
100000,2.644263
100000,2.819267
100000,2.616243
100000,2.806601
100000,2.660165
100000,2.760558
100000,2.842391
100000,2.814124
100000,2.723029
