Size,Seconds
100001,0.012075
10000,0.001058
10000001,1.955545
1001,0.000089
1000001,0.143224
2000001,0.314628
3000001,0.496689
5000001,0.878670
100001,0.012409
10000,0.000958
10000001,1.890981
1001,0.000089
1000001,0.157642
2000001,0.327417
3000001,0.492964
5000001,0.875762
100001,0.012877
10000,0.000992
10000001,1.955361
1001,0.000091
1000001,0.145784
2000001,0.316559
3000001,0.496619
5000001,0.884328
100001,0.013506
10000,0.000953
10000001,1.879988
1001,0.000109
1000001,0.147206
2000001,0.315698
3000001,0.501894
5000001,0.908097
100001,0.011937
10000,0.001172
10000001,1.894240
1001,0.000105
1000001,0.152063
2000001,0.325043
3000001,0.496931
5000001,0.899690
100001,0.013334
10000,0.001095
10000001,1.955237
1001,0.000089
1000001,0.144096
2000001,0.315293
3000001,0.497739
5000001,0.883483
100001,0.012464
10000,0.000991
10000001,1.900306
1001,0.000090
1000001,0.149851
2000001,0.325137
3000001,0.501514
5000001,0.911564
100001,0.013790
10000,0.001099
10000001,1.919351
1001,0.000089
1000001,0.153196
2000001,0.329885
3000001,0.514058
5000001,0.912011
100001,0.011874
10000,0.001163
10000001,1.906070
1001,0.000089
1000001,0.149512
2000001,0.313457
3000001,0.500716
5000001,0.916201
100001,0.012739
10000,0.000994
10000001,1.913840
1001,0.000102
1000001,0.152058
2000001,0.317875
3000001,0.498254
5000001,0.928901
100001,0.014130
10000,0.000978
10000001,1.878511
1001,0.000087
1000001,0.158501
2000001,0.323530
3000001,0.510634
5000001,0.883642
100001,0.012190
10000,0.000986
10000001,1.914877
1001,0.000086
1000001,0.152962
2000001,0.325352
3000001,0.493271
5000001,0.880972
100001,0.012617
10000,0.001000
10000001,1.936081
1001,0.000091
1000001,0.145561
2000001,0.312060
3000001,0.495772
5000001,0.889732
100001,0.014134
10000,0.001062
10000001,1.891683
1001,0.000089
1000001,0.149335
2000001,0.319588
3000001,0.506848
5000001,0.895094
100001,0.012148
10000,0.001021
10000001,1.899234
1001,0.000091
1000001,0.152777
2000001,0.327219
3000001,0.524551
5000001,0.883562
100001,0.012383
10000,0.000984
10000001,1.929532
1001,0.000092
1000001,0.145376
2000001,0.317162
3000001,0.499254
5000001,0.884748
100001,0.014553
10000,0.001497
10000001,1.878665
1001,0.000087
1000001,0.156130
2000001,0.324263
3000001,0.501986
5000001,0.904991
100001,0.012198
10000,0.000978
10000001,1.901003
1001,0.000086
1000001,0.149397
2000001,0.325010
3000001,0.500637
5000001,0.878726
100001,0.012211
10000,0.001348
10000001,1.930146
1001,0.000090
1000001,0.150397
2000001,0.315164
3000001,0.511217
5000001,0.886561
100001,0.014801
10000,0.001009
10000001,1.897506
1001,0.000088
1000001,0.156649
2000001,0.319274
3000001,0.506912
5000001,0.909267
100001,0.013380
10000,0.001039
10000001,1.890264
1001,0.000096
1000001,0.147746
2000001,0.321472
3000001,0.517430
5000001,0.882873
100001,0.011868
10000,0.000989
10000001,1.915593
1001,0.000093
1000001,0.146009
2000001,0.316921
3000001,0.500784
5000001,0.882431
100001,0.013146
10000,0.001020
10000001,1.891923
1001,0.000091
1000001,0.143852
2000001,0.342786
3000001,0.499919
5000001,0.914078
100001,0.013004
10000,0.001072
10000001,1.900457
1001,0.000119
1000001,0.149792
2000001,0.325204
3000001,0.519428
5000001,0.884927
100001,0.012710
10000,0.000950
10000001,1.912823
1001,0.000119
1000001,0.149682
2000001,0.324354
3000001,0.497488
5000001,0.897698
100001,0.014607
10000,0.001022
10000001,1.922587
1001,0.000089
1000001,0.147121
2000001,0.315844
3000001,0.501819
5000001,0.911501
100001,0.012295
10000,0.001585
10000001,1.885313
1001,0.000092
1000001,0.153304
2000001,0.322780
3000001,0.515670
5000001,0.885694
100001,0.012220
10000,0.001025
10000001,1.949118
1001,0.000084
1000001,0.152989
2000001,0.312878
3000001,0.498796
5000001,0.877926
100001,0.011674
10000,0.001048
10000001,1.917258
1001,0.000165
1000001,0.147492
2000001,0.316484
3000001,0.493826
5000001,0.916623
100001,0.013848
10000,0.000979
10000001,1.993194
1001,0.000093
1000001,0.145300
2000001,0.318999
3000001,0.537066
5000001,0.892388
