Size,Seconds
1000000,0.144933
1000000,0.142197
1000000,0.141526
1000000,0.141492
1000000,0.145969
1000000,0.150201
1000000,0.144421
1000000,0.144337
1000000,0.140708
1000000,0.141812
1000000,0.140488
1000000,0.143619
1000000,0.141888
1000000,0.141636
1000000,0.141942
1000000,0.142137
1000000,0.142691
1000000,0.142075
1000000,0.143454
1000000,0.146200
1000000,0.142765
1000000,0.144873
1000000,0.154689
1000000,0.149689
1000000,0.142067
1000000,0.140669
1000000,0.143589
1000000,0.140368
1000000,0.145340
1000000,0.144894
1000000,0.141675
1000000,0.144614
1000000,0.140583
1000000,0.140948
1000000,0.141446
1000000,0.141327
1000000,0.145127
1000000,0.142396
1000000,0.140484
1000000,0.148748
1000000,0.145067
1000000,0.148881
1000000,0.145148
1000000,0.142534
1000000,0.145780
1000000,0.141476
1000000,0.143164
1000000,0.141937
1000000,0.141444
1000000,0.142165
1000000,0.141436
1000000,0.140838
1000000,0.141298
1000000,0.141802
1000000,0.144399
1000000,0.141178
1000000,0.147967
1000000,0.147069
1000000,0.147552
1000000,0.145269
1000000,0.149836
1000000,0.142065
1000000,0.146098
1000000,0.141421
1000000,0.141562
1000000,0.146586
1000000,0.140566
1000000,0.142310
1000000,0.140852
1000000,0.142932
1000000,0.141818
1000000,0.141590
1000000,0.146554
1000000,0.148414
1000000,0.140754
1000000,0.148313
1000000,0.147395
1000000,0.144254
1000000,0.143941
1000000,0.143684
1000000,0.152798
1000000,0.140819
1000000,0.148041
1000000,0.147494
1000000,0.147960
1000000,0.140748
1000000,0.142770
1000000,0.141249
1000000,0.142095
1000000,0.141995
1000000,0.142145
1000000,0.146447
1000000,0.142676
1000000,0.144727
1000000,0.145317
1000000,0.143246
1000000,0.143900
1000000,0.144557
1000000,0.147923
1000000,0.142785
1000000,0.147875
1000000,0.142205
1000000,0.140546
1000000,0.141284
1000000,0.142318
1000000,0.141503
1000000,0.140459
1000000,0.146765
1000000,0.140791
1000000,0.146954
1000000,0.146621
1000000,0.147141
1000000,0.151049
1000000,0.144050
1000000,0.148553
1000000,0.140565
1000000,0.142394
1000000,0.141214
1000000,0.149460
1000000,0.140511
1000000,0.140400
1000000,0.140437
1000000,0.149535
1000000,0.142726
1000000,0.142927
1000000,0.142780
1000000,0.144146
1000000,0.142921
1000000,0.145154
1000000,0.151466
1000000,0.144269
1000000,0.145478
1000000,0.140425
1000000,0.146526
1000000,0.142500
1000000,0.149652
1000000,0.147906
