Size,Seconds
1000000,0.297733
1000,0.000295
100000,0.032465
4999996,1.467630
3999997,1.172634
2999998,0.881062
10000,0.003139
9999991,2.972882
1999999,0.587847
1000000,0.295062
1000,0.000297
100000,0.032468
4999996,1.496347
3999997,1.195415
2999998,0.902266
10000,0.003624
9999991,2.980022
1999999,0.597969
1000000,0.286637
1000,0.000320
100000,0.032448
4999996,1.507631
3999997,1.181807
2999998,0.901937
10000,0.003249
9999991,2.955090
1999999,0.587297
1000000,0.287896
1000,0.000359
100000,0.032231
4999996,1.473033
3999997,1.170350
2999998,0.891315
10000,0.003224
9999991,2.996713
1999999,0.606486
1000000,0.294214
1000,0.000294
100000,0.032722
4999996,1.465034
3999997,1.189074
2999998,0.910331
10000,0.003122
9999991,2.959110
1999999,0.591640
1000000,0.289795
1000,0.000296
100000,0.037735
4999996,1.496140
3999997,1.185841
2999998,0.899312
10000,0.003002
9999991,2.988491
1999999,0.602066
1000000,0.288174
1000,0.000295
100000,0.032195
4999996,1.477782
3999997,1.177416
2999998,0.905837
10000,0.003150
9999991,2.958740
1999999,0.595835
1000000,0.293419
1000,0.000303
100000,0.032403
4999996,1.481958
3999997,1.271940
2999998,0.945952
10000,0.003081
9999991,2.986241
1999999,0.626696
1000000,0.288529
1000,0.000295
100000,0.032520
4999996,1.489291
3999997,1.177117
2999998,0.888129
10000,0.003060
9999991,2.946664
1999999,0.585454
1000000,0.294011
1000,0.000294
100000,0.032289
4999996,1.465025
3999997,1.193039
2999998,0.881706
10000,0.003026
9999991,2.963211
1999999,0.590322
1000000,0.292116
1000,0.000297
100000,0.032259
4999996,1.468204
3999997,1.171228
2999998,0.882870
10000,0.003039
9999991,2.977554
1999999,0.582308
1000000,0.287671
1000,0.000296
100000,0.032466
4999996,1.463965
3999997,1.163062
2999998,0.880020
10000,0.003012
9999991,3.015755
1999999,0.583642
1000000,0.294566
1000,0.000297
100000,0.032426
4999996,1.530989
3999997,1.164772
2999998,0.903783
10000,0.003338
9999991,2.979531
1999999,0.593596
1000000,0.297414
1000,0.000323
100000,0.032907
4999996,1.483495
3999997,1.195887
2999998,0.883737
10000,0.003100
9999991,3.013018
1999999,0.590200
1000000,0.289237
1000,0.000328
100000,0.032339
4999996,1.491889
3999997,1.170621
2999998,0.919196
10000,0.003168
9999991,2.957687
1999999,0.583929
1000000,0.292775
1000,0.000295
100000,0.035338
4999996,1.462576
3999997,1.189898
2999998,0.886600
10000,0.003165
9999991,2.956523
1999999,0.610541
1000000,0.289989
1000,0.000295
100000,0.033922
4999996,1.467382
3999997,1.200498
2999998,0.883938
10000,0.003015
9999991,2.956373
1999999,0.633000
1000000,0.287540
1000,0.000304
100000,0.032413
4999996,1.471382
3999997,1.180560
2999998,0.880226
10000,0.003211
9999991,2.952823
1999999,0.591599
1000000,0.303140
1000,0.000325
100000,0.033641
4999996,1.502972
3999997,1.170184
2999998,0.886382
10000,0.003139
9999991,3.002480
1999999,0.600492
1000000,0.295721
1000,0.000293
100000,0.032781
4999996,1.459163
3999997,1.166004
2999998,1.074756
10000,0.003107
9999991,2.970595
1999999,0.592903
1000000,0.295809
1000,0.000294
100000,0.032344
4999996,1.463111
3999997,1.176543
2999998,0.890735
10000,0.003013
9999991,3.012031
1999999,0.587607
1000000,0.307062
1000,0.000296
100000,0.032455
4999996,1.477479
3999997,1.166779
2999998,0.949731
10000,0.003049
9999991,3.047290
1999999,0.584975
1000000,0.292488
1000,0.000295
100000,0.032336
4999996,1.479017
3999997,1.169233
2999998,0.896250
10000,0.003173
9999991,2.984724
1999999,0.584511
1000000,0.294192
1000,0.000294
100000,0.032323
4999996,1.471270
3999997,1.165132
2999998,0.895024
10000,0.003195
9999991,2.982542
1999999,0.583291
1000000,0.323836
1000,0.000297
100000,0.032518
4999996,1.471702
3999997,1.193593
2999998,0.890274
10000,0.002996
9999991,2.960613
1999999,0.589603
1000000,0.292847
1000,0.000295
100000,0.032075
4999996,1.474414
3999997,1.169080
2999998,0.884893
10000,0.003190
9999991,3.045691
1999999,0.617959
1000000,0.291512
1000,0.000303
100000,0.032290
4999996,1.459618
3999997,1.163288
2999998,0.885416
10000,0.003039
9999991,2.972232
1999999,0.587480
1000000,0.305685
1000,0.000304
100000,0.032271
4999996,1.464397
3999997,1.179868
2999998,0.902859
10000,0.003154
9999991,3.010905
1999999,0.580970
1000000,0.288222
1000,0.000295
100000,0.033889
4999996,1.457469
3999997,1.176069
2999998,0.896134
10000,0.003012
9999991,2.979255
1999999,0.594603
1000000,0.287096
1000,0.000295
100000,0.034297
4999996,1.467400
3999997,1.183048
2999998,0.886888
10000,0.003051
9999991,3.050332
1999999,0.584964
