Size,Seconds
100001,0.011005
10000,0.000920
10000001,1.215091
1001,0.000079
1000001,0.111487
2000001,0.236270
3000001,0.356910
5000001,0.591717
100001,0.010633
10000,0.000922
10000001,1.219401
1001,0.000131
1000001,0.110674
2000001,0.234182
3000001,0.356309
5000001,0.586963
100001,0.013129
10000,0.000980
10000001,1.262447
1001,0.000106
1000001,0.114233
2000001,0.234370
3000001,0.352878
5000001,0.590466
100001,0.009870
10000,0.000939
10000001,1.244252
1001,0.000101
1000001,0.118473
2000001,0.232190
3000001,0.353908
5000001,0.592484
100001,0.010476
10000,0.001129
10000001,1.253580
1001,0.000119
1000001,0.117216
2000001,0.232096
3000001,0.346717
5000001,0.589082
100001,0.010195
10000,0.000891
10000001,1.304960
1001,0.000084
1000001,0.110100
2000001,0.230224
3000001,0.348717
5000001,0.607152
100001,0.010484
10000,0.000968
10000001,1.270663
1001,0.000079
1000001,0.110308
2000001,0.226460
3000001,0.356255
5000001,0.589359
100001,0.013200
10000,0.000935
10000001,1.240207
1001,0.000079
1000001,0.119858
2000001,0.227769
3000001,0.345204
5000001,0.603830
100001,0.010141
10000,0.000942
10000001,1.244386
1001,0.000083
1000001,0.124801
2000001,0.227038
3000001,0.345249
5000001,0.588603
100001,0.011508
10000,0.001063
10000001,1.299210
1001,0.000123
1000001,0.122191
2000001,0.225461
3000001,0.354075
5000001,0.603514
100001,0.010579
10000,0.001047
10000001,1.350885
1001,0.000099
1000001,0.110512
2000001,0.225706
3000001,0.379832
5000001,0.607941
100001,0.010067
10000,0.001131
10000001,1.251066
1001,0.000079
1000001,0.111881
2000001,0.229884
3000001,0.347373
5000001,0.612942
100001,0.010917
10000,0.001312
10000001,1.229643
1001,0.000080
1000001,0.123412
2000001,0.229204
3000001,0.360047
5000001,0.613823
100001,0.010822
10000,0.000930
10000001,1.219428
1001,0.000088
1000001,0.111980
2000001,0.226376
3000001,0.359516
5000001,0.609131
100001,0.010278
10000,0.000931
10000001,1.350370
1001,0.000080
1000001,0.110531
2000001,0.237254
3000001,0.357906
5000001,0.590079
100001,0.010114
10000,0.000932
10000001,1.229889
1001,0.000081
1000001,0.112101
2000001,0.233947
3000001,0.350493
5000001,0.592490
100001,0.010375
10000,0.000916
10000001,1.239491
1001,0.000102
1000001,0.117759
2000001,0.232752
3000001,0.389005
5000001,0.605316
100001,0.010174
10000,0.000964
10000001,1.266249
1001,0.000125
1000001,0.112038
2000001,0.225130
3000001,0.350419
5000001,0.602215
100001,0.012125
10000,0.000934
10000001,1.305760
1001,0.000100
1000001,0.114682
2000001,0.255640
3000001,0.349274
5000001,0.606289
100001,0.011784
10000,0.000961
10000001,1.372423
1001,0.000079
1000001,0.124589
2000001,0.227142
3000001,0.388845
5000001,0.592003
100001,0.012134
10000,0.000912
10000001,1.225132
1001,0.000079
1000001,0.110291
2000001,0.225780
3000001,0.349369
5000001,0.610204
100001,0.010719
10000,0.001050
10000001,1.221850
1001,0.000084
1000001,0.110683
2000001,0.226639
3000001,0.357289
5000001,0.604816
100001,0.010416
10000,0.001409
10000001,1.224690
1001,0.000082
1000001,0.110900
2000001,0.226318
3000001,0.348323
5000001,0.623905
100001,0.010781
10000,0.001000
10000001,1.236101
1001,0.000116
1000001,0.111771
2000001,0.226545
3000001,0.354125
5000001,0.610406
100001,0.013615
10000,0.000924
10000001,1.405682
1001,0.000081
1000001,0.117961
2000001,0.226170
3000001,0.357625
5000001,0.594755
100001,0.009923
10000,0.000953
10000001,1.223683
1001,0.000079
1000001,0.110127
2000001,0.233977
3000001,0.365898
5000001,0.616715
100001,0.009863
10000,0.000954
10000001,1.248405
1001,0.000083
1000001,0.113661
2000001,0.236416
3000001,0.349528
5000001,0.667421
100001,0.010842
10000,0.000928
10000001,1.295643
1001,0.000084
1000001,0.112764
2000001,0.246022
3000001,0.350673
5000001,0.590938
100001,0.010673
10000,0.000951
10000001,1.263360
1001,0.000130
1000001,0.109906
2000001,0.227259
3000001,0.373713
5000001,0.667259
100001,0.011110
10000,0.000921
10000001,1.257690
1001,0.000133
1000001,0.118562
2000001,0.225005
3000001,0.359344
5000001,0.595671
