Size,Seconds
1000000,0.111099
1000000,0.108568
1000000,0.109376
1000000,0.110887
1000000,0.108539
1000000,0.111994
1000000,0.119991
1000000,0.116168
1000000,0.112619
1000000,0.116293
1000000,0.110828
1000000,0.110779
1000000,0.108130
1000000,0.107958
1000000,0.112502
1000000,0.109333
1000000,0.109717
1000000,0.107930
1000000,0.107976
1000000,0.108898
1000000,0.108660
1000000,0.109538
1000000,0.109693
1000000,0.107909
1000000,0.108583
1000000,0.107693
1000000,0.117082
1000000,0.111216
1000000,0.112010
1000000,0.110325
1000000,0.108224
1000000,0.108852
1000000,0.109242
1000000,0.107637
1000000,0.109014
1000000,0.107685
1000000,0.108786
1000000,0.109528
1000000,0.108124
1000000,0.109959
1000000,0.108054
1000000,0.110379
1000000,0.108423
1000000,0.108504
1000000,0.109114
1000000,0.108014
1000000,0.111338
1000000,0.110237
1000000,0.111196
1000000,0.112652
1000000,0.107883
1000000,0.108571
1000000,0.109506
1000000,0.108354
1000000,0.112024
1000000,0.109279
1000000,0.112246
1000000,0.109079
1000000,0.111453
1000000,0.112192
1000000,0.109729
1000000,0.108636
1000000,0.111120
1000000,0.110943
1000000,0.109201
1000000,0.108673
1000000,0.108281
1000000,0.110913
1000000,0.112121
1000000,0.111783
1000000,0.107829
1000000,0.108902
1000000,0.108885
1000000,0.109612
1000000,0.108400
1000000,0.110669
1000000,0.111700
1000000,0.112754
1000000,0.113230
1000000,0.108587
1000000,0.107883
1000000,0.108889
1000000,0.110859
1000000,0.107934
1000000,0.108064
1000000,0.110968
1000000,0.108623
1000000,0.110436
1000000,0.118450
1000000,0.111489
1000000,0.109109
1000000,0.111528
1000000,0.110116
1000000,0.108479
1000000,0.110503
1000000,0.113164
1000000,0.110012
1000000,0.111838
1000000,0.109151
1000000,0.108320
1000000,0.107611
1000000,0.112536
1000000,0.108848
1000000,0.109186
1000000,0.110119
1000000,0.108111
1000000,0.112774
1000000,0.114127
1000000,0.111501
1000000,0.118014
1000000,0.107961
1000000,0.131839
1000000,0.119883
1000000,0.107849
1000000,0.108290
1000000,0.110268
1000000,0.114378
1000000,0.108863
1000000,0.113487
1000000,0.109727
1000000,0.113847
1000000,0.109546
1000000,0.110321
1000000,0.112948
1000000,0.108767
1000000,0.111887
1000000,0.114689
1000000,0.123744
1000000,0.109276
1000000,0.107867
1000000,0.111668
1000000,0.115473
1000000,0.108033
1000000,0.113909
1000000,0.114330
1000000,0.114125
1000000,0.108577
1000000,0.108357
1000000,0.116672
1000000,0.108660
1000000,0.109172
1000000,0.107639
1000000,0.110493
1000000,0.117046
1000000,0.109816
1000000,0.108912
1000000,0.110576
1000000,0.111543
1000000,0.110921
1000000,0.110559
1000000,0.108052
1000000,0.109140
1000000,0.108311
1000000,0.108967
1000000,0.116433
1000000,0.110435
1000000,0.107744
1000000,0.112782
1000000,0.108477
1000000,0.114750
1000000,0.107704
1000000,0.115416
1000000,0.111831
1000000,0.108845
1000000,0.109707
1000000,0.108412
1000000,0.115476
1000000,0.112203
1000000,0.110305
1000000,0.107828
1000000,0.108245
1000000,0.116807
1000000,0.107859
1000000,0.116729
1000000,0.107707
1000000,0.109285
1000000,0.109010
1000000,0.115655
1000000,0.110524
1000000,0.108449
1000000,0.118951
1000000,0.108401
1000000,0.117299
1000000,0.111011
1000000,0.109554
1000000,0.112244
1000000,0.114273
1000000,0.115514
1000000,0.111937
1000000,0.109832
1000000,0.108924
1000000,0.123021
1000000,0.109318
1000000,0.107990
1000000,0.108032
1000000,0.108426
1000000,0.118225
1000000,0.118039
1000000,0.107900
1000000,0.107697
1000000,0.108036
1000000,0.115010
1000000,0.108467
1000000,0.109083
1000000,0.115312
1000000,0.117429
1000000,0.112098
1000000,0.116103
1000000,0.108643
1000000,0.110448
1000000,0.116891
1000000,0.117303
1000000,0.117637
1000000,0.116061
1000000,0.117365
1000000,0.109417
1000000,0.109669
1000000,0.109268
1000000,0.118103
1000000,0.119323
1000000,0.110905
1000000,0.108680
1000000,0.119063
1000000,0.115032
1000000,0.112258
1000000,0.111200
1000000,0.112327
1000000,0.111255
1000000,0.111443
1000000,0.108114
1000000,0.110411
1000000,0.118094
1000000,0.118994
1000000,0.108847
1000000,0.109491
1000000,0.108346
1000000,0.111154
1000000,0.108839
1000000,0.110021
1000000,0.118526
1000000,0.120063
1000000,0.108868
1000000,0.116535
1000000,0.120539
1000000,0.114540
1000000,0.112145
1000000,0.115779
1000000,0.108766
1000000,0.108953
1000000,0.108414
1000000,0.108010
1000000,0.108079
1000000,0.109601
1000000,0.117390
1000000,0.122123
1000000,0.108019
1000000,0.108245
1000000,0.108080
1000000,0.108050
1000000,0.109232
1000000,0.109698
1000000,0.110040
1000000,0.107889
1000000,0.111472
1000000,0.110734
1000000,0.111593
1000000,0.111453
1000000,0.113140
1000000,0.108086
1000000,0.108603
1000000,0.108039
1000000,0.119797
1000000,0.108564
1000000,0.108643
1000000,0.108729
1000000,0.118193
1000000,0.120039
1000000,0.108087
1000000,0.107771
1000000,0.119736
1000000,0.118373
1000000,0.108037
1000000,0.109884
1000000,0.110352
1000000,0.114014
1000000,0.111385
1000000,0.111616
1000000,0.119082
1000000,0.119752
1000000,0.108334
1000000,0.112866
1000000,0.108258
1000000,0.109547
1000000,0.110111
1000000,0.109844
1000000,0.118423
1000000,0.120401
1000000,0.108729
1000000,0.108516
1000000,0.120806
1000000,0.123053
1000000,0.108945
1000000,0.109757
1000000,0.110974
1000000,0.111957
1000000,0.110743
1000000,0.109217
1000000,0.109141
1000000,0.118640
1000000,0.108761
1000000,0.120111
1000000,0.109593
1000000,0.108682
1000000,0.108168
1000000,0.118527
1000000,0.116171
1000000,0.108869
1000000,0.114978
1000000,0.121726
1000000,0.109230
1000000,0.120658
1000000,0.109984
1000000,0.111017
1000000,0.112568
1000000,0.110435
1000000,0.111787
1000000,0.107954
1000000,0.108880
1000000,0.108669
1000000,0.121237
1000000,0.118561
1000000,0.110366
1000000,0.108760
1000000,0.113463
1000000,0.108269
1000000,0.108831
1000000,0.119612
1000000,0.108901
1000000,0.120221
1000000,0.108792
1000000,0.110391
1000000,0.108934
1000000,0.109992
1000000,0.111412
1000000,0.110026
1000000,0.110562
1000000,0.114010
1000000,0.120239
1000000,0.108356
1000000,0.118778
1000000,0.108435
1000000,0.117476
1000000,0.119973
1000000,0.108838
1000000,0.109256
1000000,0.107973
1000000,0.109886
1000000,0.108117
1000000,0.120679
1000000,0.121137
1000000,0.108908
1000000,0.110179
1000000,0.115693
1000000,0.110965
1000000,0.115540
1000000,0.108517
1000000,0.110131
1000000,0.118854
1000000,0.109309
1000000,0.108144
1000000,0.109432
1000000,0.118772
1000000,0.108521
1000000,0.108536
1000000,0.108224
1000000,0.121309
1000000,0.109839
1000000,0.120685
1000000,0.110090
1000000,0.123617
1000000,0.122162
1000000,0.111393
1000000,0.111651
1000000,0.111779
1000000,0.108592
1000000,0.120791
1000000,0.109631
1000000,0.108178
1000000,0.114301
1000000,0.108566
1000000,0.110968
1000000,0.112236
1000000,0.107844
1000000,0.119545
1000000,0.109720
1000000,0.121276
1000000,0.108643
1000000,0.123615
1000000,0.121215
1000000,0.110210
1000000,0.110777
1000000,0.114544
1000000,0.110857
1000000,0.108988
1000000,0.108411
1000000,0.120169
1000000,0.122048
1000000,0.109132
1000000,0.108314
1000000,0.119793
1000000,0.107995
1000000,0.108285
1000000,0.120201
1000000,0.108440
1000000,0.111715
1000000,0.107939
1000000,0.119201
1000000,0.108057
1000000,0.107950
1000000,0.109560
1000000,0.114037
1000000,0.111859
1000000,0.117301
1000000,0.108606
1000000,0.108943
1000000,0.108111
1000000,0.109059
1000000,0.108100
1000000,0.120638
1000000,0.122723
1000000,0.110191
1000000,0.108349
1000000,0.109168
1000000,0.119978
1000000,0.122448
1000000,0.121641
1000000,0.109483
1000000,0.121030
1000000,0.111218
1000000,0.110825
1000000,0.113509
1000000,0.110871
1000000,0.115011
1000000,0.122643
1000000,0.116376
1000000,0.110209
1000000,0.121501
1000000,0.108099
1000000,0.120715
1000000,0.122032
1000000,0.124109
1000000,0.108333
1000000,0.121678
1000000,0.121953
1000000,0.109569
1000000,0.115880
1000000,0.108243
1000000,0.112005
1000000,0.112503
1000000,0.111848
1000000,0.110953
1000000,0.111455
1000000,0.108732
1000000,0.108103
1000000,0.108977
1000000,0.122080
1000000,0.109158
1000000,0.118438
1000000,0.109188
1000000,0.108469
1000000,0.121342
1000000,0.121923
1000000,0.121106
1000000,0.108774
1000000,0.116002
1000000,0.109207
1000000,0.112792
1000000,0.114093
1000000,0.111476
1000000,0.115655
1000000,0.111015
1000000,0.127735
1000000,0.120941
1000000,0.109935
1000000,0.108910
1000000,0.109404
1000000,0.114157
1000000,0.124499
1000000,0.122252
1000000,0.109535
1000000,0.107931
1000000,0.108383
1000000,0.108114
1000000,0.107889
1000000,0.109107
1000000,0.120167
1000000,0.110019
1000000,0.110347
1000000,0.111993
1000000,0.110409
1000000,0.108442
1000000,0.110825
1000000,0.108873
1000000,0.107819
1000000,0.109451
1000000,0.121882
1000000,0.109842
1000000,0.107753
1000000,0.109682
1000000,0.107880
1000000,0.110257
1000000,0.122723
1000000,0.121584
1000000,0.108580
1000000,0.111580
1000000,0.120180
1000000,0.114391
1000000,0.113203
1000000,0.116707
1000000,0.113718
1000000,0.112917
1000000,0.108232
1000000,0.122017
1000000,0.108994
1000000,0.108073
1000000,0.108137
1000000,0.112456
1000000,0.108185
1000000,0.120928
1000000,0.108053
1000000,0.123924
1000000,0.109219
1000000,0.123370
1000000,0.116868
1000000,0.124585
1000000,0.111204
1000000,0.110063
1000000,0.111252
1000000,0.110951
1000000,0.110812
1000000,0.121077
1000000,0.113304
1000000,0.111879
1000000,0.108744
1000000,0.109979
1000000,0.121309
1000000,0.108832
1000000,0.123672
1000000,0.108317
1000000,0.115778
1000000,0.108638
1000000,0.124248
1000000,0.108564
1000000,0.123427
1000000,0.109744
1000000,0.114625
1000000,0.111001
1000000,0.116419
1000000,0.108244
1000000,0.109303
1000000,0.123371
1000000,0.123954
1000000,0.109696
1000000,0.123054
1000000,0.123540
1000000,0.110704
1000000,0.110284
1000000,0.139208
1000000,0.108226
1000000,0.110633
1000000,0.112034
1000000,0.110310
1000000,0.108077
1000000,0.115308
1000000,0.112427
1000000,0.114882
1000000,0.110020
1000000,0.109350
1000000,0.122687
1000000,0.108797
1000000,0.108553
1000000,0.108985
1000000,0.109682
1000000,0.109183
1000000,0.108811
1000000,0.108317
1000000,0.123352
1000000,0.108606
1000000,0.108595
1000000,0.108544
1000000,0.117581
1000000,0.123666
1000000,0.109712
1000000,0.111921
1000000,0.114968
1000000,0.112021
1000000,0.115843
1000000,0.115463
1000000,0.109705
1000000,0.110179
1000000,0.110080
1000000,0.108199
1000000,0.109444
1000000,0.123370
1000000,0.110417
1000000,0.107973
1000000,0.115666
1000000,0.109116
1000000,0.108158
1000000,0.109720
1000000,0.120462
1000000,0.124287
1000000,0.110687
1000000,0.110762
1000000,0.111713
1000000,0.110955
1000000,0.108149
1000000,0.124327
1000000,0.109517
1000000,0.107989
1000000,0.122437
1000000,0.110503
1000000,0.108026
1000000,0.123460
1000000,0.110322
1000000,0.123645
1000000,0.109637
1000000,0.108454
1000000,0.123418
1000000,0.112281
1000000,0.119029
1000000,0.110501
1000000,0.110388
1000000,0.113538
1000000,0.111171
1000000,0.111089
1000000,0.108584
1000000,0.117667
1000000,0.108357
1000000,0.110165
1000000,0.123667
1000000,0.111008
1000000,0.116414
1000000,0.112742
1000000,0.108210
1000000,0.111312
1000000,0.124135
1000000,0.109756
1000000,0.108231
1000000,0.119141
1000000,0.108941
1000000,0.114472
1000000,0.111453
1000000,0.117989
1000000,0.110872
1000000,0.109809
1000000,0.108572
1000000,0.108062
1000000,0.123296
1000000,0.109120
1000000,0.108379
1000000,0.108814
1000000,0.123017
1000000,0.123806
1000000,0.119634
1000000,0.108308
1000000,0.123635
1000000,0.107956
1000000,0.116224
1000000,0.123318
1000000,0.110700
1000000,0.111011
1000000,0.112256
1000000,0.110958
1000000,0.111827
1000000,0.108068
1000000,0.111374
1000000,0.108616
1000000,0.123991
1000000,0.110039
1000000,0.109219
1000000,0.110428
1000000,0.109991
1000000,0.107966
1000000,0.111017
