Size,Seconds
100001,0.012927
10000,0.001126
10000001,1.448104
1001,0.000109
1000001,0.141149
2000001,0.279496
3000001,0.412561
5000001,0.694940
100001,0.013332
10000,0.001123
10000001,1.470068
1001,0.000154
1000001,0.134182
2000001,0.273353
3000001,0.414126
5000001,0.697707
100001,0.013271
10000,0.001098
10000001,1.490465
1001,0.000121
1000001,0.132098
2000001,0.268729
3000001,0.412058
5000001,0.693951
100001,0.013181
10000,0.001139
10000001,1.473159
1001,0.000124
1000001,0.132983
2000001,0.272039
3000001,0.412339
5000001,0.705603
100001,0.013123
10000,0.001709
10000001,1.456993
1001,0.000105
1000001,0.132203
2000001,0.277035
3000001,0.414967
5000001,0.755110
100001,0.012936
10000,0.001139
10000001,1.447259
1001,0.000104
1000001,0.133984
2000001,0.275169
3000001,0.422434
5000001,0.706432
100001,0.013300
10000,0.001126
10000001,1.461894
1001,0.000157
1000001,0.131499
2000001,0.276936
3000001,0.427648
5000001,0.697013
100001,0.013338
10000,0.001114
10000001,1.482330
1001,0.000154
1000001,0.136169
2000001,0.283348
3000001,0.428136
5000001,0.704245
100001,0.012588
10000,0.001224
10000001,1.504983
1001,0.000126
1000001,0.131861
2000001,0.269374
3000001,0.412617
5000001,0.695268
100001,0.012115
10000,0.001155
10000001,1.502278
1001,0.000102
1000001,0.133178
2000001,0.273716
3000001,0.412802
5000001,0.729864
100001,0.012584
10000,0.001136
10000001,1.486090
1001,0.000129
1000001,0.134683
2000001,0.286622
3000001,0.422285
5000001,0.718263
100001,0.013869
10000,0.001125
10000001,1.459663
1001,0.000103
1000001,0.138928
2000001,0.273720
3000001,0.417921
5000001,0.716711
100001,0.013100
10000,0.001123
10000001,1.451730
1001,0.000101
1000001,0.133864
2000001,0.274790
3000001,0.429407
5000001,0.697239
100001,0.013035
10000,0.001104
10000001,1.494896
1001,0.000158
1000001,0.137604
2000001,0.282046
3000001,0.439818
5000001,0.699396
100001,0.012852
10000,0.001137
10000001,1.478730
1001,0.000107
1000001,0.136723
2000001,0.272754
3000001,0.415351
5000001,0.737042
100001,0.012522
10000,0.001176
10000001,1.482855
1001,0.000126
1000001,0.141793
2000001,0.272935
3000001,0.411062
5000001,0.712085
100001,0.014294
10000,0.001312
10000001,1.465263
1001,0.000104
1000001,0.135013
2000001,0.271720
3000001,0.413562
5000001,0.716526
100001,0.013406
10000,0.001147
10000001,1.539989
1001,0.000121
1000001,0.131835
2000001,0.274556
3000001,0.413897
5000001,0.722162
100001,0.012989
10000,0.001122
10000001,1.447974
1001,0.000105
1000001,0.132813
2000001,0.295906
3000001,0.430012
5000001,0.735480
100001,0.013258
10000,0.001130
10000001,1.515524
1001,0.000120
1000001,0.134181
2000001,0.279884
3000001,0.412060
5000001,0.697472
100001,0.012942
10000,0.001113
10000001,1.520755
1001,0.000105
1000001,0.140606
2000001,0.271733
3000001,0.417300
5000001,0.695752
100001,0.013090
10000,0.001128
10000001,1.506038
1001,0.000102
1000001,0.144345
2000001,0.275812
3000001,0.412339
5000001,0.702665
100001,0.015316
10000,0.001181
10000001,1.475229
1001,0.000102
1000001,0.131714
2000001,0.277615
3000001,0.414677
5000001,0.710624
100001,0.014352
10000,0.001162
10000001,1.460730
1001,0.000102
1000001,0.138379
2000001,0.283384
3000001,0.412177
5000001,0.727768
100001,0.013982
10000,0.001528
10000001,1.499667
1001,0.000173
1000001,0.133024
2000001,0.292598
3000001,0.433348
5000001,0.704867
100001,0.012750
10000,0.001126
10000001,1.531388
1001,0.000104
1000001,0.140197
2000001,0.280646
3000001,0.411856
5000001,0.700486
100001,0.013592
10000,0.001128
10000001,1.482701
1001,0.000108
1000001,0.140002
2000001,0.287068
3000001,0.416848
5000001,0.709572
100001,0.015527
10000,0.001200
10000001,1.486971
1001,0.000108
1000001,0.147158
2000001,0.273326
3000001,0.459214
5000001,0.693809
100001,0.012454
10000,0.001371
10000001,1.461195
1001,0.000126
1000001,0.146663
2000001,0.271368
3000001,0.447565
5000001,0.716492
100001,0.013259
10000,0.001125
10000001,1.572890
1001,0.000105
1000001,0.132443
2000001,0.294440
3000001,0.423919
5000001,0.714303
