Size,Seconds
1000000,0.132096
1000000,0.131513
1000000,0.130058
1000000,0.130296
1000000,0.130179
1000000,0.131710
1000000,0.130630
1000000,0.131662
1000000,0.132493
1000000,0.137359
1000000,0.134315
1000000,0.139246
1000000,0.130391
1000000,0.131674
1000000,0.130860
1000000,0.131648
1000000,0.131044
1000000,0.133170
1000000,0.139063
1000000,0.131608
1000000,0.130994
1000000,0.132468
1000000,0.130613
1000000,0.131769
1000000,0.131275
1000000,0.132601
1000000,0.130038
1000000,0.136755
1000000,0.136347
1000000,0.139060
1000000,0.131594
1000000,0.132031
1000000,0.131064
1000000,0.130556
1000000,0.130522
1000000,0.132639
1000000,0.131192
1000000,0.131500
1000000,0.130347
1000000,0.130376
1000000,0.131363
1000000,0.131026
1000000,0.131536
1000000,0.130617
1000000,0.132032
1000000,0.132140
1000000,0.132592
1000000,0.133935
1000000,0.134590
1000000,0.133180
1000000,0.131914
1000000,0.130047
1000000,0.130080
1000000,0.130973
1000000,0.130771
1000000,0.130987
1000000,0.129908
1000000,0.130799
1000000,0.130109
1000000,0.131052
1000000,0.133608
1000000,0.138066
1000000,0.132948
1000000,0.130515
1000000,0.134041
1000000,0.134805
1000000,0.140774
1000000,0.133575
1000000,0.132802
1000000,0.130526
1000000,0.133014
1000000,0.135203
1000000,0.133020
1000000,0.130385
1000000,0.134496
1000000,0.131425
1000000,0.132693
1000000,0.132152
1000000,0.142827
1000000,0.137383
1000000,0.129797
1000000,0.137800
1000000,0.133694
1000000,0.133445
1000000,0.133897
1000000,0.134838
1000000,0.133058
1000000,0.130864
1000000,0.130990
1000000,0.130581
1000000,0.130105
1000000,0.131129
1000000,0.135464
1000000,0.130630
1000000,0.137639
1000000,0.130617
1000000,0.139631
1000000,0.131157
1000000,0.133536
1000000,0.139508
1000000,0.131999
1000000,0.139915
1000000,0.134632
1000000,0.136269
1000000,0.135587
1000000,0.131902
1000000,0.130334
1000000,0.132030
1000000,0.139653
1000000,0.141929
1000000,0.132471
1000000,0.130020
1000000,0.135794
1000000,0.130586
1000000,0.131556
1000000,0.134161
1000000,0.132029
1000000,0.131155
1000000,0.131930
1000000,0.133154
1000000,0.136726
1000000,0.133231
1000000,0.132390
1000000,0.139138
1000000,0.132427
1000000,0.139369
1000000,0.142279
1000000,0.137379
1000000,0.131616
1000000,0.131659
1000000,0.142718
1000000,0.155108
1000000,0.158515
1000000,0.143672
1000000,0.131479
1000000,0.131570
1000000,0.147995
1000000,0.141248
1000000,0.134386
1000000,0.131941
1000000,0.131857
1000000,0.136119
1000000,0.130534
1000000,0.132652
1000000,0.131141
1000000,0.142663
1000000,0.141335
1000000,0.130641
1000000,0.130467
1000000,0.130350
1000000,0.130316
1000000,0.144140
1000000,0.130876
1000000,0.130678
1000000,0.130903
1000000,0.133203
1000000,0.135306
1000000,0.132630
1000000,0.132229
1000000,0.141224
1000000,0.143597
1000000,0.129844
1000000,0.142893
1000000,0.143547
1000000,0.144722
1000000,0.130141
1000000,0.141907
1000000,0.130945
1000000,0.131598
1000000,0.131193
1000000,0.143876
1000000,0.130948
1000000,0.133491
1000000,0.132827
1000000,0.133503
1000000,0.134185
1000000,0.131846
1000000,0.131929
1000000,0.130947
1000000,0.131223
1000000,0.133208
1000000,0.131343
1000000,0.131763
1000000,0.132065
1000000,0.131180
1000000,0.131867
1000000,0.130686
1000000,0.133064
1000000,0.137383
1000000,0.135313
1000000,0.130802
1000000,0.138275
1000000,0.136202
1000000,0.137124
1000000,0.131362
1000000,0.135862
1000000,0.130395
1000000,0.131494
1000000,0.131215
1000000,0.132814
1000000,0.130733
1000000,0.131914
1000000,0.130355
1000000,0.143055
1000000,0.131006
1000000,0.130186
1000000,0.129783
1000000,0.139699
1000000,0.133030
1000000,0.133422
1000000,0.137734
1000000,0.133944
1000000,0.137736
1000000,0.130413
1000000,0.131290
1000000,0.131892
1000000,0.144014
1000000,0.141982
1000000,0.132524
1000000,0.145873
1000000,0.131500
1000000,0.138968
1000000,0.144592
1000000,0.130139
1000000,0.130144
1000000,0.129693
1000000,0.130579
1000000,0.134294
1000000,0.136031
1000000,0.132664
1000000,0.133496
1000000,0.130442
1000000,0.131866
1000000,0.131532
1000000,0.130834
1000000,0.130853
1000000,0.130046
1000000,0.131043
1000000,0.130496
1000000,0.131708
1000000,0.129856
1000000,0.147158
1000000,0.130004
1000000,0.136841
1000000,0.142860
1000000,0.143271
1000000,0.148785
1000000,0.133471
1000000,0.129871
1000000,0.144939
1000000,0.132197
1000000,0.130270
1000000,0.132367
1000000,0.130099
1000000,0.131228
1000000,0.145097
1000000,0.132660
1000000,0.129710
1000000,0.144317
1000000,0.130177
1000000,0.130764
1000000,0.132846
1000000,0.130697
1000000,0.136275
1000000,0.137655
1000000,0.133925
1000000,0.138671
1000000,0.130869
1000000,0.131540
1000000,0.130134
1000000,0.131214
1000000,0.144588
1000000,0.131600
1000000,0.131199
1000000,0.147344
1000000,0.130018
1000000,0.131711
1000000,0.130710
1000000,0.132253
1000000,0.143425
1000000,0.130319
1000000,0.132007
1000000,0.134575
1000000,0.139202
1000000,0.134359
1000000,0.132120
1000000,0.129789
1000000,0.132853
1000000,0.131012
1000000,0.148199
1000000,0.131694
1000000,0.131345
1000000,0.131181
1000000,0.131022
1000000,0.146887
1000000,0.147168
1000000,0.150381
1000000,0.133380
1000000,0.135173
1000000,0.133074
1000000,0.133368
1000000,0.137638
1000000,0.132701
1000000,0.130182
1000000,0.134405
1000000,0.141593
1000000,0.143453
1000000,0.131430
1000000,0.147291
1000000,0.130704
1000000,0.131152
1000000,0.131816
1000000,0.131338
1000000,0.146067
1000000,0.131475
1000000,0.132140
1000000,0.130794
1000000,0.133873
1000000,0.134080
1000000,0.137092
1000000,0.132727
1000000,0.131977
1000000,0.145866
1000000,0.141449
1000000,0.130266
1000000,0.153175
1000000,0.131664
1000000,0.131589
1000000,0.129741
1000000,0.145010
1000000,0.148716
1000000,0.144552
1000000,0.131497
1000000,0.130502
1000000,0.139394
1000000,0.133178
1000000,0.140038
1000000,0.134139
1000000,0.133469
1000000,0.130227
1000000,0.141755
1000000,0.132266
1000000,0.130798
1000000,0.131128
1000000,0.131184
1000000,0.131627
1000000,0.147991
1000000,0.130158
1000000,0.131505
1000000,0.147850
1000000,0.130991
1000000,0.148398
1000000,0.131401
1000000,0.133520
1000000,0.134920
1000000,0.137894
1000000,0.130546
1000000,0.148372
1000000,0.130516
1000000,0.142961
1000000,0.148330
1000000,0.130953
1000000,0.148059
1000000,0.130486
1000000,0.130519
1000000,0.148927
1000000,0.132999
1000000,0.131993
1000000,0.149155
1000000,0.130221
1000000,0.141643
1000000,0.133242
1000000,0.139996
1000000,0.133118
1000000,0.148180
1000000,0.147042
1000000,0.130295
1000000,0.131283
1000000,0.134435
1000000,0.149989
1000000,0.145450
1000000,0.148650
1000000,0.149715
1000000,0.131137
1000000,0.130183
1000000,0.130156
1000000,0.146929
1000000,0.137487
1000000,0.134187
1000000,0.135403
1000000,0.137258
1000000,0.133986
1000000,0.130853
1000000,0.131416
1000000,0.133266
1000000,0.130193
1000000,0.148487
1000000,0.131502
1000000,0.141629
1000000,0.148735
1000000,0.131923
1000000,0.130348
1000000,0.133282
1000000,0.148345
1000000,0.131838
1000000,0.130586
1000000,0.139895
1000000,0.136984
1000000,0.132987
1000000,0.132340
1000000,0.130353
1000000,0.133715
1000000,0.130407
1000000,0.132553
1000000,0.130610
1000000,0.131877
1000000,0.131400
1000000,0.131717
1000000,0.131314
1000000,0.134703
1000000,0.131083
1000000,0.134482
1000000,0.133879
1000000,0.138814
1000000,0.135045
1000000,0.135652
1000000,0.133460
1000000,0.147385
1000000,0.130447
1000000,0.133435
1000000,0.130218
1000000,0.148518
1000000,0.132234
1000000,0.132516
1000000,0.131059
1000000,0.130501
1000000,0.131503
1000000,0.130325
1000000,0.131172
1000000,0.149189
1000000,0.143053
1000000,0.130986
1000000,0.136298
1000000,0.134299
1000000,0.131374
1000000,0.130029
1000000,0.132466
1000000,0.131902
1000000,0.131321
1000000,0.149114
1000000,0.130954
1000000,0.150144
1000000,0.134611
1000000,0.150906
1000000,0.130524
1000000,0.131787
1000000,0.149701
1000000,0.139545
1000000,0.153317
1000000,0.140624
1000000,0.138773
1000000,0.136011
1000000,0.135364
1000000,0.130244
1000000,0.150408
1000000,0.131321
1000000,0.137905
1000000,0.151842
1000000,0.148106
1000000,0.133162
1000000,0.152767
1000000,0.151868
1000000,0.144057
1000000,0.151350
1000000,0.131765
1000000,0.131486
1000000,0.148183
1000000,0.137627
1000000,0.133386
1000000,0.133104
1000000,0.151731
1000000,0.150156
1000000,0.151368
1000000,0.130274
1000000,0.133085
1000000,0.130804
1000000,0.132860
1000000,0.130607
1000000,0.133643
1000000,0.130033
1000000,0.131558
1000000,0.147714
1000000,0.144808
1000000,0.145232
1000000,0.132828
1000000,0.137920
1000000,0.134701
1000000,0.131592
1000000,0.150213
1000000,0.132118
1000000,0.131533
1000000,0.147996
1000000,0.134902
1000000,0.150744
1000000,0.131318
1000000,0.131897
1000000,0.149120
1000000,0.152790
1000000,0.134974
1000000,0.139206
1000000,0.133091
1000000,0.132723
1000000,0.136055
1000000,0.134865
1000000,0.136276
1000000,0.145811
1000000,0.131599
1000000,0.130440
1000000,0.149433
1000000,0.131015
1000000,0.130525
1000000,0.148393
1000000,0.149850
1000000,0.152119
1000000,0.130046
1000000,0.152001
1000000,0.130341
1000000,0.140430
1000000,0.134751
1000000,0.134501
1000000,0.135390
1000000,0.133815
1000000,0.134307
1000000,0.150776
1000000,0.132559
1000000,0.148625
1000000,0.132487
1000000,0.130446
1000000,0.130740
1000000,0.145979
1000000,0.130955
1000000,0.150144
1000000,0.131568
1000000,0.131700
1000000,0.131857
1000000,0.131022
1000000,0.140465
1000000,0.137152
1000000,0.134561
1000000,0.137858
1000000,0.130961
1000000,0.132331
1000000,0.141441
1000000,0.151354
1000000,0.130234
1000000,0.131361
1000000,0.131223
1000000,0.132667
1000000,0.136092
1000000,0.149398
1000000,0.130817
1000000,0.147992
1000000,0.149669
1000000,0.131647
1000000,0.143342
1000000,0.134934
1000000,0.136533
1000000,0.130281
1000000,0.130786
1000000,0.147305
1000000,0.130476
1000000,0.130415
1000000,0.130288
1000000,0.150132
1000000,0.130702
1000000,0.133098
1000000,0.149167
1000000,0.144831
1000000,0.131775
1000000,0.151024
1000000,0.131474
1000000,0.132303
1000000,0.134246
1000000,0.133214
1000000,0.133913
1000000,0.131397
1000000,0.143677
1000000,0.130983
1000000,0.150827
1000000,0.164043
1000000,0.143146
1000000,0.150627
1000000,0.131922
1000000,0.149644
1000000,0.130447
1000000,0.131370
1000000,0.131719
1000000,0.131246
1000000,0.132000
1000000,0.135137
1000000,0.135875
1000000,0.137055
1000000,0.131009
1000000,0.134425
1000000,0.130587
1000000,0.132536
1000000,0.130705
1000000,0.133606
1000000,0.131368
1000000,0.131330
1000000,0.149510
1000000,0.153218
1000000,0.146852
1000000,0.151822
1000000,0.134780
1000000,0.130338
1000000,0.132317
1000000,0.133234
1000000,0.140517
1000000,0.135350
1000000,0.132732
1000000,0.130272
1000000,0.131942
1000000,0.132641
1000000,0.131387
