Size,Seconds
1000000,0.294486
1000,0.000436
100000,0.044088
4999996,1.434896
3999997,1.129339
2999998,0.847226
10000,0.003121
9999991,2.855835
1999999,0.568768
1000000,0.306354
1000,0.000300
100000,0.030962
4999996,1.474010
3999997,1.150679
2999998,0.847848
10000,0.003047
9999991,2.868449
1999999,0.560169
1000000,0.303202
1000,0.000284
100000,0.031970
4999996,1.422222
3999997,1.163705
2999998,0.895401
10000,0.003086
9999991,2.870858
1999999,0.568540
1000000,0.280457
1000,0.000283
100000,0.032135
4999996,1.439972
3999997,1.138963
2999998,0.854754
10000,0.002917
9999991,2.884777
1999999,0.563033
1000000,0.287039
1000,0.000361
100000,0.031022
4999996,1.457188
3999997,1.152555
2999998,0.853245
10000,0.002996
9999991,3.257312
1999999,0.562592
1000000,0.295908
1000,0.000275
100000,0.030807
4999996,1.424885
3999997,1.144208
2999998,0.870974
10000,0.002854
9999991,2.882572
1999999,0.569635
1000000,0.283594
1000,0.000283
100000,0.033518
4999996,1.422616
3999997,1.140104
2999998,0.850015
10000,0.003104
9999991,2.854698
1999999,0.562524
1000000,0.283177
1000,0.000274
100000,0.032315
4999996,1.428012
3999997,1.137332
2999998,0.870105
10000,0.004856
9999991,2.861699
1999999,0.562040
1000000,0.291328
1000,0.000294
100000,0.031883
4999996,1.425246
3999997,1.135779
2999998,0.849162
10000,0.003044
9999991,2.923289
1999999,0.565867
1000000,0.282919
1000,0.000275
100000,0.035113
4999996,1.422709
3999997,1.145335
2999998,0.857114
10000,0.003043
9999991,2.872847
1999999,0.566853
1000000,0.303844
1000,0.000291
100000,0.031528
4999996,1.475834
3999997,1.139108
2999998,0.856538
10000,0.002994
9999991,2.842219
1999999,0.563133
1000000,0.297652
1000,0.000286
100000,0.030813
4999996,1.418961
3999997,1.162702
2999998,0.858490
10000,0.002952
9999991,2.841368
1999999,0.564376
1000000,0.295641
1000,0.000276
100000,0.032491
4999996,1.421711
3999997,1.135293
2999998,0.849074
10000,0.002908
9999991,2.891064
1999999,0.562391
1000000,0.283158
1000,0.000284
100000,0.030823
4999996,1.448247
3999997,1.131327
2999998,0.856052
10000,0.002876
9999991,2.864094
1999999,0.562053
1000000,0.278050
1000,0.000290
100000,0.032654
4999996,1.451732
3999997,1.144043
2999998,0.871959
10000,0.003001
9999991,2.848073
1999999,0.568782
1000000,0.291981
1000,0.000294
100000,0.032579
4999996,1.425561
3999997,1.138182
2999998,0.847102
10000,0.003096
9999991,2.860715
1999999,0.566177
1000000,0.287389
1000,0.000298
100000,0.031524
4999996,1.421578
3999997,1.137130
2999998,0.845253
10000,0.003054
9999991,2.880833
1999999,0.570698
1000000,0.290650
1000,0.000286
100000,0.032417
4999996,1.423593
3999997,1.169234
2999998,0.870235
10000,0.002999
9999991,2.896151
1999999,0.568018
1000000,0.284302
1000,0.000277
100000,0.031285
4999996,1.423617
3999997,1.139889
2999998,0.855875
10000,0.003397
9999991,2.875294
1999999,0.594912
1000000,0.282758
1000,0.000283
100000,0.032032
4999996,1.428359
3999997,1.153669
2999998,0.858044
10000,0.004255
9999991,2.875126
1999999,0.564751
1000000,0.283185
1000,0.000275
100000,0.030859
4999996,1.461793
3999997,1.137094
2999998,0.871792
10000,0.003126
9999991,2.863196
1999999,0.563844
1000000,0.322090
1000,0.000320
100000,0.032429
4999996,1.428615
3999997,1.134296
2999998,0.856469
10000,0.003198
9999991,2.846735
1999999,0.565855
1000000,0.279551
1000,0.000275
100000,0.030887
4999996,1.464409
3999997,1.151210
2999998,0.865590
10000,0.002911
9999991,2.862595
1999999,0.572187
1000000,0.277866
1000,0.000274
100000,0.032531
4999996,1.422005
3999997,1.140246
2999998,0.850196
10000,0.004842
9999991,2.849277
1999999,0.563725
1000000,0.293302
1000,0.000283
100000,0.031253
4999996,1.434665
3999997,1.133138
2999998,0.849343
10000,0.002953
9999991,2.866635
1999999,0.563267
1000000,0.289140
1000,0.000468
100000,0.032275
4999996,1.428466
3999997,1.141567
2999998,0.849332
10000,0.002975
9999991,2.845576
1999999,0.562349
1000000,0.281610
1000,0.000276
100000,0.031039
4999996,1.434834
3999997,1.140006
2999998,0.854227
10000,0.002826
9999991,2.872581
1999999,0.581767
1000000,0.278770
1000,0.000282
100000,0.030919
4999996,1.421545
3999997,1.155198
2999998,0.855197
10000,0.003092
9999991,2.859896
1999999,0.562839
1000000,0.282148
1000,0.000287
100000,0.031087
4999996,1.438909
3999997,1.154519
2999998,0.879822
10000,0.002954
9999991,2.874807
1999999,0.569297
1000000,0.283246
1000,0.000277
100000,0.031509
4999996,1.427520
3999997,1.143709
2999998,0.849384
10000,0.002879
9999991,2.881238
1999999,0.563717
1000000,0.278828
1000,0.000279
100000,0.032803
4999996,1.446364
3999997,1.134247
2999998,0.847731
10000,0.003079
9999991,2.839443
1999999,0.563784
