Size,Seconds
1000000,0.286742
1000,0.000278
100000,0.031672
4999996,1.459270
3999997,1.152154
2999998,0.870822
10000,0.003050
9999991,2.922856
1999999,0.571123
1000000,0.288492
1000,0.000294
100000,0.031873
4999996,1.437798
3999997,1.155875
2999998,0.890169
10000,0.002956
9999991,2.910832
1999999,0.573328
1000000,0.285715
1000,0.000277
100000,0.031126
4999996,1.455246
3999997,1.144595
2999998,0.877368
10000,0.002969
9999991,2.907377
1999999,0.570527
1000000,0.286022
1000,0.000277
100000,0.030975
4999996,1.438177
3999997,1.156042
2999998,0.870509
10000,0.002860
9999991,2.908533
1999999,0.586917
1000000,0.287483
1000,0.000331
100000,0.031830
4999996,1.436696
3999997,1.150235
2999998,0.869248
10000,0.002919
9999991,2.893887
1999999,0.594122
1000000,0.286617
1000,0.000439
100000,0.030883
4999996,1.441120
3999997,1.162252
2999998,0.867165
10000,0.003034
9999991,2.904055
1999999,0.577723
1000000,0.300878
1000,0.000296
100000,0.031737
4999996,1.465550
3999997,1.144091
2999998,0.870791
10000,0.003046
9999991,2.903732
1999999,0.574161
1000000,0.284763
1000,0.000301
100000,0.031228
4999996,1.454811
3999997,1.146889
2999998,0.865070
10000,0.002920
9999991,2.895448
1999999,0.583993
1000000,0.285290
1000,0.000316
100000,0.030920
4999996,1.436914
3999997,1.149617
2999998,0.897116
10000,0.003131
9999991,2.903954
1999999,0.571608
1000000,0.288573
1000,0.000278
100000,0.031004
4999996,1.435905
3999997,1.157543
2999998,0.866930
10000,0.003020
9999991,2.907596
1999999,0.574705
1000000,0.293881
1000,0.000357
100000,0.031686
4999996,1.457795
3999997,1.148468
2999998,0.859037
10000,0.002967
9999991,2.898906
1999999,0.571931
1000000,0.284223
1000,0.000287
100000,0.031098
4999996,1.440415
3999997,1.150791
2999998,0.867215
10000,0.003024
9999991,2.916668
1999999,0.601502
1000000,0.284376
1000,0.000284
100000,0.030828
4999996,1.428325
3999997,1.163226
2999998,0.864797
10000,0.002916
9999991,2.912485
1999999,0.571723
1000000,0.284817
1000,0.000280
100000,0.034294
4999996,1.448733
3999997,1.156555
2999998,0.864946
10000,0.002905
9999991,2.907810
1999999,0.578266
1000000,0.285715
1000,0.000298
100000,0.030919
4999996,1.432042
3999997,1.145033
2999998,0.858012
10000,0.002983
9999991,2.890113
1999999,0.572084
1000000,0.286328
1000,0.000286
100000,0.031203
4999996,1.461061
3999997,1.138226
2999998,0.873779
10000,0.002979
9999991,2.904919
1999999,0.577304
1000000,0.282971
1000,0.000279
100000,0.035433
4999996,1.431166
3999997,1.146268
2999998,0.875581
10000,0.003044
9999991,2.911765
1999999,0.578015
1000000,0.287886
1000,0.000277
100000,0.032820
4999996,1.446467
3999997,1.159844
2999998,0.859627
10000,0.002892
9999991,2.900521
1999999,0.574799
1000000,0.304350
1000,0.000281
100000,0.031290
4999996,1.428266
3999997,1.153659
2999998,0.864097
10000,0.003015
9999991,2.897919
1999999,0.575436
1000000,0.289494
1000,0.000277
100000,0.031228
4999996,1.450214
3999997,1.143543
2999998,0.858641
10000,0.003025
9999991,2.899699
1999999,0.576092
1000000,0.285960
1000,0.000363
100000,0.030944
4999996,1.455421
3999997,1.144251
2999998,0.866641
10000,0.002973
9999991,2.903033
1999999,0.572449
1000000,0.283806
1000,0.000313
100000,0.030649
4999996,1.475039
3999997,1.177602
2999998,0.859304
10000,0.003049
9999991,2.921296
1999999,0.577594
1000000,0.284420
1000,0.000278
100000,0.031182
4999996,1.442111
3999997,1.150955
2999998,0.862121
10000,0.002983
9999991,2.908993
1999999,0.571877
1000000,0.287595
1000,0.000366
100000,0.031059
4999996,1.443741
3999997,1.157333
2999998,0.863207
10000,0.002966
9999991,2.900943
1999999,0.573501
1000000,0.287174
1000,0.000291
100000,0.031350
4999996,1.458358
3999997,1.172876
2999998,0.863690
10000,0.002983
9999991,2.901628
1999999,0.593250
1000000,0.282262
1000,0.000285
100000,0.031478
4999996,1.454388
3999997,1.143939
2999998,0.858744
10000,0.002909
9999991,2.921205
1999999,0.571042
1000000,0.285566
1000,0.000279
100000,0.030660
4999996,1.434809
3999997,1.153914
2999998,0.867875
10000,0.003065
9999991,2.892083
1999999,0.574204
1000000,0.283167
1000,0.000279
100000,0.031887
4999996,1.438195
3999997,1.141108
2999998,0.890805
10000,0.002886
9999991,2.886666
1999999,0.571103
1000000,0.286805
1000,0.000287
100000,0.031620
4999996,1.439415
3999997,1.149009
2999998,0.864589
10000,0.002965
9999991,2.884306
1999999,0.596927
1000000,0.287264
1000,0.000374
100000,0.031548
4999996,1.441340
3999997,1.144106
2999998,0.865321
10000,0.003108
9999991,2.895461
1999999,0.569870
