Size,Seconds
100001,0.012088
100001,0.012142
10001,0.001035
10000001,1.362155
1001,0.000086
1000001,0.122761
100001,0.011861
10001,0.000980
10000001,1.374198
1001,0.000087
1000001,0.122270
100001,0.011690
10001,0.001031
10000001,1.400017
1001,0.000088
1000001,0.124618
100001,0.012582
10001,0.001160
10000001,1.374086
1001,0.000087
1000001,0.120902
100001,0.011574
10001,0.001690
10000001,1.381440
1001,0.000091
1000001,0.120462
100001,0.011747
10001,0.001041
10000001,1.400580
1001,0.000198
1000001,0.124936
100001,0.011690
10001,0.001128
10000001,1.372002
1001,0.000140
1000001,0.120950
100001,0.011924
10001,0.001007
10000001,1.486294
1001,0.000125
1000001,0.122778
100001,0.011584
10001,0.001017
10000001,1.367099
1001,0.000129
1000001,0.122962
100001,0.010969
10001,0.001056
10000001,1.374916
1001,0.000087
1000001,0.124093
