Size,Seconds
1000000,0.333484
1000000,0.339114
90001,0.028878
100000,0.037693
80001,0.025321
60001,0.018862
40001,0.013332
20001,0.006298
50001,0.015431
1000000,0.336660
1000,0.000313
70001,0.022011
30001,0.009139
1000000,0.335905
10000,0.002972
1000000,0.333697
1000000,0.339445
90001,0.034919
100000,0.031606
80001,0.027395
60001,0.019968
40001,0.013101
20001,0.006911
50001,0.020905
1000000,0.334988
1000,0.000281
70001,0.022145
30001,0.015795
1000000,0.333477
10000,0.002948
1000000,0.334357
1000000,0.334337
90001,0.029254
100000,0.032119
80001,0.025388
60001,0.018757
40001,0.012444
20001,0.006490
50001,0.015615
1000000,0.337265
1000,0.000280
70001,0.022604
30001,0.010015
1000000,0.337774
10000,0.003448
1000000,0.332808
1000000,0.334165
90001,0.029303
100000,0.031621
80001,0.025237
60001,0.019042
40001,0.012362
20001,0.006623
50001,0.015742
1000000,0.338497
1000,0.000518
70001,0.022129
30001,0.009439
1000000,0.340911
10000,0.003105
