Size,Seconds
100000,2.758542
10000,0.028624

1001,0.000314




100000,2.745944
10000,0.028780

1001,0.000344




100000,2.791884
10000,0.030228

1001,0.000309




100000,2.799514
10000,0.028193

1001,0.000339




100000,2.836167
10000,0.028761

1001,0.000331




100000,2.825585
10000,0.028620

1001,0.000310




100000,2.904070
10000,0.029800

1001,0.000403




100000,2.843783
10000,0.029217

1001,0.000305




100000,2.821605
10000,0.028661

1001,0.000325




100000,2.794535
10000,0.028873

1001,0.000343




100000,2.868191
10000,0.031005

1001,0.000318




100000,2.901693
10000,0.028508

1001,0.000316




100000,2.894770
10000,0.028590

1001,0.000309




100000,2.927309
10000,0.028927

1001,0.000310




100000,2.932020
10000,0.029522

1001,0.000345




100000,3.067104
10000,0.029785

1001,0.000315




100000,2.977918
10000,0.031718

1001,0.000323




100000,2.934102
10000,0.028677

1001,0.000321




100000,2.907947
10000,0.030223

1001,0.000327




100000,3.044322
10000,0.029406

1001,0.000316




100000,2.865793
10000,0.030404

1001,0.000307




100000,2.880087
10000,0.027991

1001,0.000301




100000,2.867866
10000,0.029899

1001,0.000417




100000,3.017573
10000,0.029065

1001,0.000401




100000,3.053878
10000,0.028794

1001,0.000310




100000,2.955408
10000,0.031851

1001,0.000312




100000,2.909229
10000,0.028281

1001,0.000314




100000,2.930152
10000,0.029539

1001,0.000409




100000,2.856150
10000,0.028698

1001,0.000319




100000,2.954151
10000,0.029658

1001,0.000327




