Size,Seconds
1000000,0.276862
1000,0.000283
100000,0.028983
4999996,1.453142
3999997,1.115269
2999998,0.867606
10000,0.002932
9999991,2.982434
1999999,0.556473
1000000,0.276681
1000,0.000263
100000,0.029403
4999996,1.411127
3999997,1.175323
2999998,0.838180
10000,0.002749
9999991,2.887202
1999999,0.557945
1000000,0.275652
1000,0.000270
100000,0.029310
4999996,1.401723
3999997,1.166787
2999998,0.827377
10000,0.006326
9999991,2.943949
1999999,0.558621
1000000,0.277193
1000,0.000271
100000,0.034648
4999996,1.426768
3999997,1.114542
2999998,0.844343
10000,0.002814
9999991,2.795530
1999999,0.554275
1000000,0.302897
1000,0.000260
100000,0.028914
4999996,1.503843
3999997,1.099415
2999998,0.841064
10000,0.002925
9999991,2.845021
1999999,0.558760
1000000,0.287076
1000,0.000270
100000,0.028923
4999996,1.400577
3999997,1.100481
2999998,0.888095
10000,0.004258
9999991,2.810475
1999999,0.622540
1000000,0.275150
1000,0.000270
100000,0.029493
4999996,1.383785
3999997,1.125965
2999998,0.839506
10000,0.003439
9999991,2.824380
1999999,0.557337
1000000,0.280181
1000,0.000261
100000,0.030989
4999996,1.434429
3999997,1.100864
2999998,0.859638
10000,0.002688
9999991,2.831758
1999999,0.557424
1000000,0.280845
1000,0.000265
100000,0.028785
4999996,1.391134
3999997,1.124276
2999998,0.830921
10000,0.003745
9999991,2.831906
1999999,0.560690
1000000,0.282883
1000,0.000283
100000,0.031223
4999996,1.401747
3999997,1.126286
2999998,0.836930
10000,0.002835
9999991,2.816932
1999999,0.553417
1000000,0.282910
1000,0.000271
100000,0.030994
4999996,1.399981
3999997,1.135834
2999998,0.835726
10000,0.002769
9999991,2.869049
1999999,0.563987
1000000,0.277410
1000,0.000264
100000,0.029345
4999996,1.395356
3999997,1.119871
2999998,0.848329
10000,0.002786
9999991,2.867606
1999999,0.563993
1000000,0.270822
1000,0.000270
100000,0.030625
4999996,1.577022
3999997,1.116287
2999998,0.837243
10000,0.003359
9999991,2.852991
1999999,0.563303
1000000,0.282777
1000,0.000288
100000,0.029652
4999996,1.405494
3999997,1.102427
2999998,0.845344
10000,0.002781
9999991,2.845006
1999999,0.564948
1000000,0.291992
1000,0.000271
100000,0.029726
4999996,1.407210
3999997,1.108805
2999998,0.843084
10000,0.002779
9999991,2.936773
1999999,0.556335
1000000,0.282601
1000,0.000289
100000,0.030267
4999996,1.394582
3999997,1.106980
2999998,0.864561
10000,0.002814
9999991,2.884472
1999999,0.552062
1000000,0.279869
1000,0.000264
100000,0.028963
4999996,1.416439
3999997,1.120635
2999998,0.870238
10000,0.002938
9999991,2.802901
1999999,0.567265
1000000,0.268412
1000,0.000362
100000,0.028653
4999996,1.388269
3999997,1.122458
2999998,0.937481
10000,0.002798
9999991,2.949338
1999999,0.552053
1000000,0.289283
1000,0.000330
100000,0.029993
4999996,1.429409
3999997,1.126384
2999998,0.849058
10000,0.002899
9999991,2.798054
1999999,0.590576
1000000,0.274260
1000,0.000264
100000,0.030676
4999996,1.414263
3999997,1.108688
2999998,0.862582
10000,0.003229
9999991,2.826547
1999999,0.565385
1000000,0.287572
1000,0.000341
100000,0.029946
4999996,1.477227
3999997,1.123969
2999998,0.958992
10000,0.003140
9999991,2.882228
1999999,0.553453
1000000,0.287202
1000,0.000288
100000,0.029730
4999996,1.431046
3999997,1.112674
2999998,0.862732
10000,0.002713
9999991,2.848882
1999999,0.556901
1000000,0.290420
1000,0.000274
100000,0.030212
4999996,1.419275
3999997,1.124379
2999998,0.874484
10000,0.002986
9999991,2.842046
1999999,0.551336
1000000,0.281111
1000,0.000262
100000,0.031449
4999996,1.416671
3999997,1.114493
2999998,0.829716
10000,0.002759
9999991,2.808428
1999999,0.592457
1000000,0.285464
1000,0.000842
100000,0.028738
4999996,1.414296
3999997,1.105573
2999998,0.855436
10000,0.002916
9999991,2.902338
1999999,0.553556
1000000,0.276586
1000,0.000262
100000,0.028484
4999996,1.390571
3999997,1.101041
2999998,0.841574
10000,0.004384
9999991,2.856582
1999999,0.622205
1000000,0.274649
1000,0.000262
100000,0.029033
4999996,1.414937
3999997,1.139016
2999998,0.839443
10000,0.002860
9999991,2.890657
1999999,0.580798
1000000,0.274018
1000,0.000269
100000,0.032209
4999996,1.453334
3999997,1.113093
2999998,0.837669
10000,0.002720
9999991,2.837544
1999999,0.586023
1000000,0.273579
1000,0.000270
100000,0.033274
4999996,1.397262
3999997,1.207452
2999998,0.857270
10000,0.002723
9999991,2.820329
1999999,0.552440
1000000,0.274107
1000,0.000262
100000,0.057453
4999996,1.397307
3999997,1.136215
2999998,0.842483
10000,0.002758
9999991,2.869972
1999999,0.553673
