Size,Seconds
1000000,0.287027
1000,0.000280
100000,0.031584
4999996,1.557440
3999997,1.168096
2999998,0.854423
10000,0.002864
9999991,3.225651
1999999,0.575834
1000000,0.282387
1000,0.000279
100000,0.030998
4999996,1.455554
3999997,1.154353
2999998,0.891219
10000,0.003060
9999991,2.894472
1999999,0.612773
1000000,0.298672
1000,0.000276
100000,0.036088
4999996,1.445624
3999997,1.199355
2999998,0.844765
10000,0.002953
9999991,3.072376
1999999,0.575561
1000000,0.296000
1000,0.000277
100000,0.030834
4999996,1.542270
3999997,1.161766
2999998,0.847003
10000,0.003041
9999991,2.887607
1999999,0.566719
1000000,0.282931
1000,0.000276
100000,0.030870
4999996,1.519977
3999997,1.142824
2999998,0.857326
10000,0.002881
9999991,2.909994
1999999,0.566806
1000000,0.283074
1000,0.000287
100000,0.031986
4999996,1.450058
3999997,1.131016
2999998,0.853614
10000,0.002890
9999991,2.854144
1999999,0.568220
1000000,0.282356
1000,0.000275
100000,0.030546
4999996,1.416472
3999997,1.136445
2999998,0.856564
10000,0.002916
9999991,2.894755
1999999,0.569525
1000000,0.295025
1000,0.000296
100000,0.031348
4999996,1.429248
3999997,1.154240
2999998,0.892174
10000,0.002895
9999991,2.861571
1999999,0.571177
1000000,0.279915
1000,0.000276
100000,0.032008
4999996,1.439895
3999997,1.136435
2999998,0.865787
10000,0.003035
9999991,2.868983
1999999,0.562597
1000000,0.305359
1000,0.000475
100000,0.032204
4999996,1.432821
3999997,1.145335
2999998,0.856921
10000,0.002910
9999991,2.922046
1999999,0.567907
1000000,0.282510
1000,0.000277
100000,0.032886
4999996,1.535863
3999997,1.127216
2999998,0.851410
10000,0.002885
9999991,2.843783
1999999,0.562638
1000000,0.288144
1000,0.000284
100000,0.033661
4999996,1.438541
3999997,1.156723
2999998,0.847939
10000,0.002883
9999991,2.919472
1999999,0.570351
1000000,0.295478
1000,0.000306
100000,0.033194
4999996,1.439459
3999997,1.131772
2999998,0.859706
10000,0.002859
9999991,2.863035
1999999,0.574970
1000000,0.284192
1000,0.000277
100000,0.033152
4999996,1.433321
3999997,1.194810
2999998,0.857975
10000,0.002865
9999991,2.850365
1999999,0.584025
1000000,0.285943
1000,0.000330
100000,0.031617
4999996,1.460426
3999997,1.151927
2999998,0.851120
10000,0.002902
9999991,3.343650
1999999,0.562407
1000000,0.278304
1000,0.000285
100000,0.032625
4999996,1.427195
3999997,1.137748
2999998,0.877316
10000,0.002897
9999991,2.859941
1999999,0.574070
1000000,0.302170
1000,0.000274
100000,0.031420
4999996,1.439136
3999997,1.149201
2999998,0.909539
10000,0.003153
9999991,2.852876
1999999,0.567032
1000000,0.283988
1000,0.000278
100000,0.033450
4999996,1.437389
3999997,1.145255
2999998,0.862529
10000,0.002941
9999991,2.885239
1999999,0.588951
1000000,0.280897
1000,0.000277
100000,0.038245
4999996,1.525435
3999997,1.133840
2999998,0.864009
10000,0.008373
9999991,2.848647
1999999,0.584051
1000000,0.278816
1000,0.000279
100000,0.033016
4999996,1.420390
3999997,1.150680
2999998,0.847419
10000,0.002964
9999991,2.860042
1999999,0.564760
1000000,0.284381
1000,0.000276
100000,0.031066
4999996,1.456871
3999997,1.228934
2999998,0.850775
10000,0.002875
9999991,2.908809
1999999,0.569706
1000000,0.285627
1000,0.000276
100000,0.033259
4999996,1.419921
3999997,1.149297
2999998,0.852122
10000,0.002899
9999991,2.868930
1999999,0.591717
1000000,0.292000
1000,0.000277
100000,0.033367
4999996,1.429829
3999997,1.130818
2999998,0.856857
10000,0.002940
9999991,2.852290
1999999,0.567671
1000000,0.291033
1000,0.000276
100000,0.030758
4999996,1.456684
3999997,1.135329
2999998,0.849655
10000,0.002886
9999991,2.942385
1999999,0.570766
1000000,0.283815
1000,0.000278
100000,0.033205
4999996,1.427804
3999997,1.141687
2999998,0.886386
10000,0.002865
9999991,2.872696
1999999,0.565883
1000000,0.288473
1000,0.000390
100000,0.032836
4999996,1.462583
3999997,1.307850
2999998,0.847729
10000,0.002923
9999991,2.859758
1999999,0.574322
1000000,0.281789
1000,0.000276
100000,0.031769
4999996,1.411486
3999997,1.163093
2999998,0.846884
10000,0.003164
9999991,2.908929
1999999,0.574983
1000000,0.291838
1000,0.000489
100000,0.031074
4999996,1.465201
3999997,1.135279
2999998,0.888582
10000,0.002971
9999991,2.876968
1999999,0.575037
1000000,0.281287
1000,0.000277
100000,0.033263
4999996,1.434531
3999997,1.156810
2999998,0.853622
10000,0.002841
9999991,2.959647
1999999,0.562709
1000000,0.282493
1000,0.000276
100000,0.033171
4999996,1.426585
3999997,1.136507
2999998,0.868307
10000,0.002842
9999991,2.860792
1999999,0.569329
