Size,Seconds
1000000,0.293384
1000,0.000497
100000,0.031548
4999996,1.444869
3999997,1.158694
2999998,0.881716
10000,0.002926
9999991,2.905584
1999999,0.578446
1000000,0.283553
1000,0.000909
100000,0.031094
4999996,1.471723
3999997,1.151542
2999998,0.863681
10000,0.002915
9999991,2.889531
1999999,0.580038
1000000,0.290113
1000,0.000279
100000,0.030787
4999996,1.436412
3999997,1.165503
2999998,0.866633
10000,0.002906
9999991,2.878172
1999999,0.572796
1000000,0.286721
1000,0.000283
100000,0.031523
4999996,1.451459
3999997,1.153692
2999998,0.865420
10000,0.002962
9999991,2.927425
1999999,0.588269
1000000,0.289633
1000,0.000279
100000,0.030846
4999996,1.441507
3999997,1.157466
2999998,0.900666
10000,0.003123
9999991,2.890684
1999999,0.576701
1000000,0.290129
1000,0.000281
100000,0.031085
4999996,1.434269
3999997,1.159100
2999998,0.871336
10000,0.003120
9999991,2.914110
1999999,0.577344
1000000,0.286934
1000,0.000292
100000,0.031142
4999996,1.443655
3999997,1.148659
2999998,0.888745
10000,0.002921
9999991,2.898100
1999999,0.578267
1000000,0.289477
1000,0.000318
100000,0.030900
4999996,1.448065
3999997,1.197958
2999998,0.877327
10000,0.002901
9999991,2.917662
1999999,0.575889
1000000,0.291798
1000,0.000279
100000,0.030948
4999996,1.486377
3999997,1.146868
2999998,0.868043
10000,0.002936
9999991,2.912040
1999999,0.584088
1000000,0.292385
1000,0.000282
100000,0.030827
4999996,1.446581
3999997,1.158297
2999998,0.863846
10000,0.002960
9999991,2.916589
1999999,0.591022
1000000,0.296385
1000,0.000279
100000,0.031291
4999996,1.444294
3999997,1.166225
2999998,0.869823
10000,0.002999
9999991,2.975015
1999999,0.580798
1000000,0.287205
1000,0.000291
100000,0.031298
4999996,1.495336
3999997,1.146263
2999998,0.867568
10000,0.002989
9999991,2.905793
1999999,0.577075
1000000,0.293958
1000,0.000279
100000,0.039034
4999996,1.455277
3999997,1.268428
2999998,0.865204
10000,0.002938
9999991,2.902961
1999999,0.578689
1000000,0.288805
1000,0.000281
100000,0.031030
4999996,1.449994
3999997,1.157306
2999998,0.867436
10000,0.002919
9999991,2.937333
1999999,0.583535
1000000,0.290635
1000,0.000287
100000,0.032549
4999996,1.430124
3999997,1.154537
2999998,0.861016
10000,0.003002
9999991,2.991234
1999999,0.580786
1000000,0.291769
1000,0.000282
100000,0.030979
4999996,1.447654
3999997,1.192475
2999998,0.868919
10000,0.002888
9999991,2.950728
1999999,0.579887
1000000,0.290867
1000,0.000314
100000,0.032075
4999996,1.456255
3999997,1.177118
2999998,0.869015
10000,0.002884
9999991,2.920009
1999999,0.571686
1000000,0.291393
1000,0.000280
100000,0.031558
4999996,1.505401
3999997,1.156624
2999998,0.863272
10000,0.002991
9999991,2.951099
1999999,0.576284
1000000,0.289119
1000,0.000279
100000,0.031681
4999996,1.436591
3999997,1.150654
2999998,0.870552
10000,0.003065
9999991,2.908719
1999999,0.573272
1000000,0.290256
1000,0.000279
100000,0.030961
4999996,1.445959
3999997,1.158312
2999998,0.863831
10000,0.002934
9999991,2.898290
1999999,0.573850
1000000,0.298165
1000,0.000281
100000,0.031170
4999996,1.445434
3999997,1.157132
2999998,0.878010
10000,0.002997
9999991,2.916160
1999999,0.570261
1000000,0.294690
1000,0.000304
100000,0.031620
4999996,1.435881
3999997,1.148185
2999998,0.864741
10000,0.003409
9999991,2.931772
1999999,0.593139
1000000,0.289072
1000,0.000296
100000,0.030858
4999996,1.523029
3999997,1.141753
2999998,0.866296
10000,0.002881
9999991,2.955690
1999999,0.587014
1000000,0.287775
1000,0.000280
100000,0.031166
4999996,1.430842
3999997,1.176406
2999998,0.873631
10000,0.002882
9999991,2.913369
1999999,0.581962
1000000,0.288645
1000,0.000280
100000,0.030903
4999996,1.446368
3999997,1.166374
2999998,0.860267
10000,0.006029
9999991,2.914499
1999999,0.579768
1000000,0.287398
1000,0.000299
100000,0.031556
4999996,1.456693
3999997,1.147615
2999998,0.870604
10000,0.002985
9999991,2.975534
1999999,0.577244
1000000,0.289527
1000,0.000281
100000,0.031112
4999996,1.437198
3999997,1.209584
2999998,0.874996
10000,0.002989
9999991,2.917036
1999999,0.575821
1000000,0.288408
1000,0.000284
100000,0.030812
4999996,1.463177
3999997,1.155301
2999998,0.885362
10000,0.003073
9999991,2.919982
1999999,0.576905
1000000,0.289952
1000,0.000285
100000,0.030887
4999996,1.450531
3999997,1.152438
2999998,0.876931
10000,0.002946
9999991,2.963032
1999999,0.585335
1000000,0.288591
1000,0.000279
100000,0.030875
4999996,1.448644
3999997,1.152851
2999998,0.875891
10000,0.002904
9999991,2.944929
1999999,0.573252
