Size,Seconds
1000000,0.119678
1000000,0.121700
1000000,0.120539
1000000,0.119915
1000000,0.121404
1000000,0.123434
1000000,0.123754
1000000,0.122585
1000000,0.120717
1000000,0.119833
1000000,0.120264
1000000,0.119636
1000000,0.119842
1000000,0.119484
1000000,0.120183
1000000,0.121247
1000000,0.120321
1000000,0.120099
1000000,0.120261
1000000,0.120323
1000000,0.121736
1000000,0.119297
1000000,0.121675
1000000,0.120258
1000000,0.126454
1000000,0.123341
1000000,0.125724
1000000,0.122806
1000000,0.121022
1000000,0.123212
1000000,0.123428
1000000,0.119855
1000000,0.151431
1000000,0.138649
1000000,0.122979
1000000,0.122711
1000000,0.120435
1000000,0.119948
1000000,0.119775
1000000,0.121136
1000000,0.135603
1000000,0.120838
1000000,0.120367
1000000,0.123085
1000000,0.122937
1000000,0.122035
1000000,0.120709
1000000,0.121052
1000000,0.119672
1000000,0.119242
1000000,0.120097
1000000,0.120356
1000000,0.120123
1000000,0.119509
1000000,0.122241
1000000,0.121047
1000000,0.121562
1000000,0.119965
1000000,0.121324
1000000,0.121484
1000000,0.122471
1000000,0.120588
1000000,0.126119
1000000,0.124259
1000000,0.129610
1000000,0.119761
1000000,0.122860
1000000,0.123991
1000000,0.121802
1000000,0.123366
1000000,0.121300
1000000,0.119703
1000000,0.121076
1000000,0.121844
1000000,0.123055
1000000,0.122053
1000000,0.121428
1000000,0.124074
1000000,0.123577
1000000,0.124077
1000000,0.121262
1000000,0.121595
1000000,0.128702
1000000,0.122517
1000000,0.122279
1000000,0.119418
1000000,0.122802
1000000,0.122245
1000000,0.120534
1000000,0.119994
1000000,0.121745
1000000,0.133847
1000000,0.126287
1000000,0.120613
1000000,0.123944
1000000,0.119876
1000000,0.120787
1000000,0.119775
1000000,0.124540
1000000,0.122782
1000000,0.123778
1000000,0.123465
1000000,0.124241
1000000,0.119727
1000000,0.120674
1000000,0.126681
1000000,0.126179
1000000,0.119665
1000000,0.120009
1000000,0.124589
1000000,0.122102
1000000,0.125475
1000000,0.120568
1000000,0.124860
1000000,0.120118
1000000,0.124032
1000000,0.127108
1000000,0.124636
1000000,0.121789
1000000,0.122805
1000000,0.125643
1000000,0.121803
1000000,0.121974
1000000,0.119941
1000000,0.121481
1000000,0.119689
1000000,0.120207
1000000,0.120603
1000000,0.119328
1000000,0.119443
1000000,0.125797
1000000,0.128263
1000000,0.128154
1000000,0.126382
1000000,0.120351
1000000,0.120806
1000000,0.123341
1000000,0.121040
1000000,0.122033
1000000,0.122668
1000000,0.122650
1000000,0.122722
1000000,0.120575
1000000,0.121921
1000000,0.120160
1000000,0.127180
1000000,0.120828
1000000,0.126044
1000000,0.127946
1000000,0.126505
1000000,0.128743
1000000,0.121295
1000000,0.127152
1000000,0.120283
1000000,0.121396
1000000,0.127414
1000000,0.124983
1000000,0.123866
1000000,0.124853
1000000,0.121784
1000000,0.127542
1000000,0.119695
1000000,0.120053
1000000,0.120144
1000000,0.119601
1000000,0.129097
1000000,0.128373
1000000,0.120057
1000000,0.120466
1000000,0.126234
1000000,0.127986
1000000,0.129246
1000000,0.121200
1000000,0.120365
1000000,0.121558
1000000,0.123092
1000000,0.122208
1000000,0.122822
1000000,0.124518
1000000,0.119924
1000000,0.121029
1000000,0.119872
1000000,0.121922
1000000,0.120125
1000000,0.128959
1000000,0.119918
1000000,0.120778
1000000,0.120424
1000000,0.119963
1000000,0.130194
1000000,0.130448
1000000,0.119463
1000000,0.119882
1000000,0.126943
1000000,0.124798
1000000,0.122330
1000000,0.129464
1000000,0.123320
1000000,0.121944
1000000,0.125378
1000000,0.127360
1000000,0.122077
1000000,0.129439
1000000,0.130298
1000000,0.129024
1000000,0.119693
1000000,0.122809
1000000,0.129302
1000000,0.122161
1000000,0.119461
1000000,0.122108
1000000,0.119719
1000000,0.124283
1000000,0.134528
1000000,0.125893
1000000,0.120424
1000000,0.122539
1000000,0.119675
1000000,0.123394
1000000,0.120642
1000000,0.124174
1000000,0.120482
1000000,0.120618
1000000,0.119336
1000000,0.127789
1000000,0.120631
1000000,0.123690
1000000,0.119345
1000000,0.130465
1000000,0.123948
1000000,0.131590
1000000,0.126181
1000000,0.126777
1000000,0.123289
1000000,0.125252
1000000,0.119686
1000000,0.130797
1000000,0.119747
1000000,0.119574
1000000,0.131263
1000000,0.119730
1000000,0.130436
1000000,0.132030
1000000,0.120000
1000000,0.119949
1000000,0.119237
1000000,0.124934
1000000,0.120152
1000000,0.120687
1000000,0.130673
1000000,0.124148
1000000,0.123316
1000000,0.124366
1000000,0.122177
1000000,0.119727
1000000,0.119408
1000000,0.119607
1000000,0.128255
1000000,0.132528
1000000,0.134360
1000000,0.119917
1000000,0.119531
1000000,0.121409
1000000,0.119895
1000000,0.124421
1000000,0.133021
1000000,0.124484
1000000,0.119672
1000000,0.120359
1000000,0.121488
1000000,0.124452
1000000,0.124171
1000000,0.119947
1000000,0.120291
1000000,0.121027
1000000,0.120111
1000000,0.119824
1000000,0.131424
1000000,0.119580
1000000,0.119818
1000000,0.119656
1000000,0.121030
1000000,0.131737
1000000,0.119820
1000000,0.126187
1000000,0.127873
1000000,0.119722
1000000,0.120481
1000000,0.122582
1000000,0.126509
1000000,0.121585
1000000,0.122411
1000000,0.120215
1000000,0.123890
1000000,0.131255
1000000,0.120457
1000000,0.132885
1000000,0.120272
1000000,0.132716
1000000,0.121633
1000000,0.120088
1000000,0.120471
1000000,0.119652
1000000,0.123256
1000000,0.120350
1000000,0.120015
1000000,0.126442
1000000,0.126428
1000000,0.123224
1000000,0.126140
1000000,0.119581
1000000,0.121305
1000000,0.120983
1000000,0.120227
1000000,0.132133
1000000,0.120236
1000000,0.131478
1000000,0.132088
1000000,0.131245
1000000,0.133576
1000000,0.119410
1000000,0.120807
1000000,0.123465
1000000,0.133392
1000000,0.122377
1000000,0.126203
1000000,0.134940
1000000,0.120003
1000000,0.119466
1000000,0.120478
1000000,0.119773
1000000,0.122240
1000000,0.120245
1000000,0.132555
1000000,0.120267
1000000,0.128783
1000000,0.133527
1000000,0.122520
1000000,0.120420
1000000,0.120148
1000000,0.124369
1000000,0.121603
1000000,0.132327
1000000,0.124536
1000000,0.123035
1000000,0.124590
1000000,0.122774
1000000,0.119344
1000000,0.133038
1000000,0.136310
1000000,0.121350
1000000,0.119278
1000000,0.128364
1000000,0.119653
1000000,0.133484
1000000,0.122009
1000000,0.119945
1000000,0.119961
1000000,0.119627
1000000,0.132311
1000000,0.120673
1000000,0.120123
1000000,0.123769
1000000,0.123299
1000000,0.123028
1000000,0.122074
1000000,0.119879
1000000,0.133854
1000000,0.121152
1000000,0.120113
1000000,0.119429
1000000,0.126859
1000000,0.119671
1000000,0.119452
1000000,0.133321
1000000,0.120679
1000000,0.134141
1000000,0.122097
1000000,0.120857
1000000,0.119747
1000000,0.120861
1000000,0.123527
1000000,0.127810
1000000,0.122700
1000000,0.122417
1000000,0.119458
1000000,0.134406
1000000,0.120882
1000000,0.120075
1000000,0.135042
1000000,0.120899
1000000,0.120590
1000000,0.132703
1000000,0.135642
1000000,0.122277
1000000,0.134041
1000000,0.129378
1000000,0.122240
1000000,0.120330
1000000,0.124833
1000000,0.128827
1000000,0.124928
1000000,0.124505
1000000,0.119385
1000000,0.133322
1000000,0.123855
1000000,0.120123
1000000,0.131228
1000000,0.130960
1000000,0.122478
1000000,0.135729
1000000,0.120030
1000000,0.121071
1000000,0.130053
1000000,0.121764
1000000,0.120481
1000000,0.120519
1000000,0.127805
1000000,0.121999
1000000,0.123900
1000000,0.122506
1000000,0.122571
1000000,0.119936
1000000,0.121484
1000000,0.121670
1000000,0.120551
1000000,0.120219
1000000,0.119793
1000000,0.120235
1000000,0.132881
1000000,0.121436
1000000,0.130977
1000000,0.119978
1000000,0.122022
1000000,0.135761
1000000,0.120117
1000000,0.122953
1000000,0.122154
1000000,0.124266
1000000,0.122929
1000000,0.134304
1000000,0.120957
1000000,0.123076
1000000,0.134405
1000000,0.120375
1000000,0.122064
1000000,0.150928
1000000,0.138316
1000000,0.119894
1000000,0.122256
1000000,0.120427
1000000,0.134801
1000000,0.119978
1000000,0.126582
1000000,0.121059
1000000,0.126053
1000000,0.124263
1000000,0.127353
1000000,0.120525
1000000,0.121746
1000000,0.121217
1000000,0.136019
1000000,0.120432
1000000,0.162213
1000000,0.138843
1000000,0.141723
1000000,0.126103
1000000,0.119687
1000000,0.137344
1000000,0.130779
1000000,0.137821
1000000,0.120692
1000000,0.121894
1000000,0.122720
1000000,0.127737
1000000,0.122404
1000000,0.122305
1000000,0.136345
1000000,0.132358
1000000,0.137582
1000000,0.121299
1000000,0.141258
1000000,0.135873
1000000,0.138216
1000000,0.137110
1000000,0.121460
1000000,0.138100
1000000,0.128027
1000000,0.120064
1000000,0.135996
1000000,0.119927
1000000,0.125219
1000000,0.123878
1000000,0.125875
1000000,0.119961
1000000,0.135911
1000000,0.120933
1000000,0.121102
1000000,0.119554
1000000,0.119678
1000000,0.136012
1000000,0.137061
1000000,0.124252
1000000,0.140061
1000000,0.137963
1000000,0.128886
1000000,0.137990
1000000,0.120676
1000000,0.121648
1000000,0.122307
1000000,0.126947
1000000,0.124353
1000000,0.121939
1000000,0.135989
1000000,0.121272
1000000,0.135937
1000000,0.121229
1000000,0.126068
1000000,0.120488
1000000,0.136317
1000000,0.129533
1000000,0.133828
1000000,0.120532
1000000,0.121662
1000000,0.119636
1000000,0.135706
1000000,0.120624
1000000,0.122489
1000000,0.123275
1000000,0.122715
1000000,0.124567
1000000,0.135359
1000000,0.120067
1000000,0.120567
1000000,0.120716
1000000,0.135320
1000000,0.119671
1000000,0.120313
1000000,0.120115
1000000,0.120951
1000000,0.132085
1000000,0.121262
1000000,0.122269
1000000,0.120347
1000000,0.121591
1000000,0.121031
1000000,0.122709
1000000,0.126653
1000000,0.121940
1000000,0.121760
1000000,0.120306
1000000,0.120022
1000000,0.120411
1000000,0.121648
1000000,0.130814
1000000,0.136486
1000000,0.119613
1000000,0.136824
1000000,0.120003
1000000,0.120851
1000000,0.120229
1000000,0.121553
1000000,0.136706
1000000,0.127213
1000000,0.134771
1000000,0.128703
1000000,0.122571
1000000,0.124001
1000000,0.120264
1000000,0.121399
1000000,0.122075
1000000,0.137903
1000000,0.120795
1000000,0.136870
1000000,0.119994
1000000,0.121245
1000000,0.126846
1000000,0.120158
1000000,0.120049
1000000,0.121128
1000000,0.119776
1000000,0.126062
1000000,0.121769
1000000,0.122393
1000000,0.123849
1000000,0.122761
1000000,0.122428
1000000,0.120198
1000000,0.119897
1000000,0.129519
1000000,0.136394
1000000,0.119925
1000000,0.120031
1000000,0.119831
1000000,0.135573
1000000,0.119924
1000000,0.121094
1000000,0.136906
1000000,0.136343
1000000,0.120734
1000000,0.120668
1000000,0.122727
1000000,0.129369
1000000,0.125075
1000000,0.124772
1000000,0.137372
