Size,Seconds
100001,0.012219
10000,0.001073
10000001,1.365704
1001,0.000091
1000001,0.121288
2000001,0.254465
3000001,0.395355
5000001,0.658647
7,0.000002
100001,0.012349
10000,0.001001
10000001,1.366694
1001,0.000086
1000001,0.123202
2000001,0.252048
3000001,0.382080
5000001,0.673618
7,0.000002
100001,0.012611
10000,0.000989
10000001,1.375514
1001,0.000117
1000001,0.120909
2000001,0.254524
3000001,0.383198
5000001,0.682344
7,0.000002
100001,0.012240
10000,0.001008
10000001,1.380329
1001,0.000123
1000001,0.121462
2000001,0.253066
3000001,0.392931
5000001,0.665246
7,0.000002
100001,0.011448
10000,0.001005
10000001,1.423308
1001,0.000087
1000001,0.120730
2000001,0.261759
3000001,0.389621
5000001,0.656646
7,0.000002
100001,0.011824
10000,0.001107
10000001,1.404343
1001,0.000090
1000001,0.126087
2000001,0.257222
3000001,0.383733
5000001,0.658833
7,0.000002
100001,0.012228
10000,0.001156
10000001,1.448104
1001,0.000107
1000001,0.125010
2000001,0.252303
3000001,0.381278
5000001,0.663778
7,0.000002
100001,0.011937
10000,0.001007
10000001,1.426036
1001,0.000096
1000001,0.125412
2000001,0.255648
3000001,0.381530
5000001,0.660901
7,0.000002
100001,0.011689
10000,0.000997
10000001,1.429256
1001,0.000088
1000001,0.121716
2000001,0.254961
3000001,0.388895
5000001,0.667771
7,0.000002
100001,0.012694
10000,0.001106
10000001,1.406824
1001,0.000121
1000001,0.120638
2000001,0.261858
3000001,0.379662
5000001,0.702417
7,0.000002
100001,0.012242
10000,0.001001
10000001,1.452537
1001,0.000151
1000001,0.120548
2000001,0.262716
3000001,0.384398
5000001,0.684118
7,0.000002
100001,0.011534
10000,0.001002
10000001,1.441021
1001,0.000129
1000001,0.129154
2000001,0.260205
3000001,0.398845
5000001,0.657478
7,0.000002
100001,0.011425
10000,0.000996
10000001,1.418106
1001,0.000107
1000001,0.123248
2000001,0.262113
3000001,0.391905
5000001,0.658458
7,0.000002
100001,0.011497
10000,0.001067
10000001,1.422412
1001,0.000114
1000001,0.127473
2000001,0.256493
3000001,0.381321
5000001,0.661434
7,0.000002
100001,0.011817
10000,0.001006
10000001,1.427567
1001,0.000095
1000001,0.123253
2000001,0.253806
3000001,0.396523
5000001,0.659012
7,0.000002
100001,0.011476
10000,0.000978
10000001,1.416812
1001,0.000138
1000001,0.122042
2000001,0.272165
3000001,0.400434
5000001,0.657613
7,0.000002
100001,0.011546
10000,0.001056
10000001,1.409223
1001,0.000106
1000001,0.130256
2000001,0.257089
3000001,0.380791
5000001,0.670462
7,0.000002
100001,0.012723
10000,0.001041
10000001,1.401544
1001,0.000095
1000001,0.123732
2000001,0.252401
3000001,0.402502
5000001,0.681943
7,0.000002
100001,0.013265
10000,0.001021
10000001,1.443359
1001,0.000085
1000001,0.122729
2000001,0.253278
3000001,0.396301
5000001,0.680187
7,0.000002
100001,0.011364
10000,0.000999
10000001,1.398747
1001,0.000087
1000001,0.132087
2000001,0.259047
3000001,0.393422
5000001,0.657266
7,0.000002
100001,0.011856
10000,0.001003
10000001,1.392754
1001,0.000111
1000001,0.129847
2000001,0.264306
3000001,0.383878
5000001,0.659164
7,0.000002
100001,0.011973
10000,0.000975
10000001,1.407827
1001,0.000107
1000001,0.124351
2000001,0.253011
3000001,0.381044
5000001,0.654865
7,0.000002
100001,0.011728
10000,0.001050
10000001,1.427540
1001,0.000117
1000001,0.132014
2000001,0.252375
3000001,0.406550
5000001,0.663022
7,0.000002
100001,0.011449
10000,0.000978
10000001,1.397037
1001,0.000107
1000001,0.129735
2000001,0.254345
3000001,0.390512
5000001,0.683764
7,0.000002
100001,0.012319
10000,0.001021
10000001,1.403541
1001,0.000104
1000001,0.121841
2000001,0.254881
3000001,0.382030
5000001,0.694999
7,0.000002
100001,0.012508
10000,0.001001
10000001,1.374004
1001,0.000126
1000001,0.121405
2000001,0.265528
3000001,0.392350
5000001,0.674256
7,0.000002
100001,0.013979
10000,0.001005
10000001,1.445673
1001,0.000085
1000001,0.125616
2000001,0.259097
3000001,0.399316
5000001,0.676928
7,0.000002
100001,0.011925
10000,0.001003
10000001,1.394354
1001,0.000086
1000001,0.126362
2000001,0.263870
3000001,0.382270
5000001,0.658676
7,0.000002
100001,0.011757
10000,0.001002
10000001,1.436076
1001,0.000206
1000001,0.127476
2000001,0.269173
3000001,0.398756
5000001,0.718277
7,0.000003
100001,0.011821
10000,0.001260
10000001,1.444831
1001,0.000090
1000001,0.134685
2000001,0.261844
3000001,0.380861
5000001,0.717882
7,0.000002
