Size,Seconds
100001,0.029810
4999996,1.407638
3999997,1.115476
1001,0.000397
2999998,0.845446
10000001,3.324802
1000001,0.314878
1999999,0.562359
10001,0.002748
100001,0.030599
4999996,1.432196
3999997,1.105475
1001,0.000808
2999998,0.837664
10000001,3.326848
1000001,0.304342
1999999,0.539153
10001,0.002795
100001,0.028442
4999996,1.411793
3999997,1.136044
1001,0.000824
2999998,0.814595
10000001,3.363116
1000001,0.317359
1999999,0.543580
10001,0.002930
100001,0.030847
4999996,1.425753
3999997,1.149379
1001,0.000572
2999998,0.890756
10000001,3.319184
1000001,0.311124
1999999,0.541237
10001,0.002843
100001,0.028452
4999996,1.378045
3999997,1.088590
1001,0.000894
2999998,0.816857
10000001,3.390604
1000001,0.317378
1999999,0.556287
10001,0.003162
100001,0.028650
4999996,1.399927
3999997,1.121814
1001,0.000446
2999998,0.811538
10000001,3.234797
1000001,0.303948
1999999,0.536849
10001,0.002844
100001,0.028461
4999996,1.376137
3999997,1.095182
1001,0.000892
2999998,0.827119
10000001,3.235108
1000001,0.306438
1999999,0.541830
10001,0.002703
100001,0.030654
4999996,1.440993
3999997,1.113465
1001,0.000804
2999998,0.819793
10000001,3.253702
1000001,0.311051
1999999,0.552907
10001,0.002787
100001,0.029812
4999996,1.386233
3999997,1.106644
1001,0.000525
2999998,0.809209
10000001,3.313769
1000001,0.306366
1999999,0.533778
10001,0.002709
100001,0.028707
4999996,1.378064
3999997,1.102694
1001,0.000876
2999998,0.817024
10000001,3.229001
1000001,0.307623
1999999,0.540712
10001,0.002806
100001,0.028436
4999996,1.370447
3999997,1.136704
1001,0.000955
2999998,0.810755
10000001,3.277155
1000001,0.304486
1999999,0.538036
10001,0.002965
100001,0.028427
4999996,1.358834
3999997,1.078087
1001,0.000899
2999998,0.838376
10000001,3.246060
1000001,0.302315
1999999,0.558986
10001,0.002699
100001,0.028696
4999996,1.365693
3999997,1.118910
1001,0.000767
2999998,0.809538
10000001,3.482967
1000001,0.309978
1999999,0.541235
10001,0.002888
100001,0.028830
4999996,1.396047
3999997,1.094236
1001,0.000784
2999998,0.818670
10000001,3.259115
1000001,0.306304
1999999,0.536229
10001,0.002924
100001,0.028719
4999996,1.371302
3999997,1.076564
1001,0.000667
2999998,0.814140
10000001,3.236322
1000001,0.310957
1999999,0.541744
10001,0.002910
100001,0.028516
4999996,1.376027
3999997,1.084733
1001,0.000663
2999998,0.814375
10000001,3.247395
1000001,0.305002
1999999,0.538037
10001,0.002705
100001,0.028549
4999996,1.364464
3999997,1.080931
1001,0.000874
2999998,0.813391
10000001,3.226063
1000001,0.301222
1999999,0.541610
10001,0.002721
100001,0.028619
4999996,1.391481
3999997,1.116449
1001,0.000871
2999998,0.813511
10000001,3.287717
1000001,0.302533
1999999,0.538825
10001,0.002687
100001,0.028444
4999996,1.370635
3999997,1.116227
1001,0.000862
2999998,0.833698
10000001,3.276695
1000001,0.317002
1999999,0.539329
10001,0.002895
100001,0.029569
4999996,1.375142
3999997,1.098659
1001,0.000894
2999998,0.811626
10000001,3.326762
1000001,0.324668
1999999,0.579370
10001,0.002859
100001,0.031263
4999996,1.374796
3999997,1.143821
1001,0.000854
2999998,0.839630
10000001,3.296473
1000001,0.303512
1999999,0.539125
10001,0.002885
100001,0.028513
4999996,1.377943
3999997,1.102529
1001,0.000795
2999998,0.827767
10000001,3.231977
1000001,0.305489
1999999,0.539390
10001,0.003060
100001,0.028725
4999996,1.363780
3999997,1.093801
1001,0.000802
2999998,0.818983
10000001,3.285811
1000001,0.304721
1999999,0.534564
10001,0.003050
100001,0.028381
4999996,1.364567
3999997,1.103388
1001,0.000643
2999998,0.815031
10000001,3.267840
1000001,0.314236
1999999,0.534085
10001,0.002827
100001,0.028613
4999996,1.396944
3999997,1.099885
1001,0.000932
2999998,0.815092
10000001,3.386665
1000001,0.307592
1999999,0.545179
10001,0.002773
100001,0.029711
4999996,1.376617
3999997,1.083223
1001,0.000837
2999998,0.808423
10000001,3.244270
1000001,0.305950
1999999,0.536929
10001,0.002759
100001,0.028683
4999996,1.372842
3999997,1.089542
1001,0.000492
2999998,0.814070
10000001,3.268886
1000001,0.305054
1999999,0.540516
10001,0.002907
100001,0.029018
4999996,1.364337
3999997,1.084313
1001,0.000389
2999998,0.833172
10000001,3.237736
1000001,0.309148
1999999,0.543162
10001,0.002731
100001,0.029275
4999996,1.376292
3999997,1.081032
1001,0.000845
2999998,0.817739
10000001,3.244074
1000001,0.318444
1999999,0.553654
10001,0.002840
100001,0.028894
4999996,1.381791
3999997,1.098416
1001,0.000665
2999998,0.806432
10000001,3.286984
1000001,0.306000
1999999,0.536924
10001,0.003039
