Size,Seconds
1000001,0.309083
1000001,0.316687
1000001,0.318323
1000001,0.317653
1000001,0.310405
1000001,0.310582
1000001,0.308151
1000001,0.304429
1000001,0.306196
1000001,0.312709
1000001,0.310918
1000001,0.309187
1000001,0.301211
1000001,0.306302
1000001,0.307983
1000001,0.302956
1000001,0.307087
1000001,0.308583
1000001,0.304341
1000001,0.307440
1000001,0.302697
1000001,0.309292
1000001,0.303794
1000001,0.306326
1000001,0.345391
1000001,0.305920
1000001,0.309271
1000001,0.306942
1000001,0.301080
1000001,0.303301
1000001,0.305707
1000001,0.305381
1000001,0.309362
1000001,0.304298
1000001,0.303660
1000001,0.305466
1000001,0.304254
1000001,0.308211
1000001,0.308652
1000001,0.303304
1000001,0.353056
1000001,0.303003
1000001,0.306467
1000001,0.310297
1000001,0.308639
1000001,0.303677
1000001,0.304674
1000001,0.303339
1000001,0.307702
1000001,0.304850
1000001,0.312112
1000001,0.302506
1000001,0.306680
1000001,0.319848
1000001,0.306018
1000001,0.315284
1000001,0.304155
1000001,0.303721
1000001,0.306205
1000001,0.308983
1000001,0.303375
1000001,0.313767
1000001,0.309322
1000001,0.302283
1000001,0.304539
1000001,0.301495
1000001,0.303291
1000001,0.313608
1000001,0.302530
1000001,0.310445
1000001,0.303744
1000001,0.305792
1000001,0.303571
1000001,0.319523
1000001,0.301876
1000001,0.311437
1000001,0.311726
1000001,0.313685
1000001,0.309609
1000001,0.302227
1000001,0.303277
1000001,0.303474
1000001,0.309658
1000001,0.302331
1000001,0.307286
1000001,0.304095
1000001,0.315383
1000001,0.304321
1000001,0.304859
1000001,0.303793
1000001,0.308151
1000001,0.303329
1000001,0.302193
1000001,0.305381
1000001,0.305397
1000001,0.304190
1000001,0.306468
1000001,0.304503
1000001,0.306074
1000001,0.308070
1000001,0.305647
1000001,0.306339
1000001,0.302639
1000001,0.302593
1000001,0.305026
1000001,0.301643
1000001,0.309967
1000001,0.319733
1000001,0.309619
1000001,0.308410
1000001,0.304647
1000001,0.312097
1000001,0.323494
1000001,0.324157
1000001,0.313342
1000001,0.303564
1000001,0.308540
1000001,0.309534
1000001,0.306287
1000001,0.310384
1000001,0.308311
1000001,0.302125
1000001,0.305582
1000001,0.304046
1000001,0.317344
1000001,0.307774
1000001,0.301936
1000001,0.301944
1000001,0.306328
1000001,0.301814
1000001,0.305520
1000001,0.308930
1000001,0.304196
1000001,0.301587
1000001,0.303387
1000001,0.305250
1000001,0.308312
1000001,0.306870
1000001,0.306352
1000001,0.309753
1000001,0.307823
1000001,0.307854
1000001,0.316348
1000001,0.307743
1000001,0.303346
1000001,0.302713
1000001,0.306834
1000001,0.308487
1000001,0.303249
1000001,0.307750
1000001,0.303829
1000001,0.309366
1000001,0.303572
1000001,0.305392
1000001,0.314988
1000001,0.306133
1000001,0.302813
1000001,0.307866
1000001,0.308133
1000001,0.310718
1000001,0.307690
1000001,0.307958
1000001,0.300883
1000001,0.304627
1000001,0.302263
1000001,0.303808
1000001,0.301052
1000001,0.321742
1000001,0.305004
1000001,0.304579
1000001,0.308135
1000001,0.304714
1000001,0.304718
1000001,0.300544
1000001,0.309472
1000001,0.307120
1000001,0.308398
1000001,0.310045
1000001,0.309602
1000001,0.302112
1000001,0.303232
1000001,0.308286
1000001,0.305835
1000001,0.306840
1000001,0.311419
1000001,0.305453
1000001,0.304306
1000001,0.306672
1000001,0.305108
1000001,0.300797
1000001,0.310360
1000001,0.306738
1000001,0.330908
1000001,0.323856
1000001,0.309862
1000001,0.301563
1000001,0.304026
1000001,0.309927
1000001,0.308615
1000001,0.312661
1000001,0.312608
1000001,0.306557
1000001,0.301095
1000001,0.302201
1000001,0.308040
1000001,0.313860
1000001,0.302089
1000001,0.305211
1000001,0.302125
1000001,0.301023
1000001,0.307050
1000001,0.317808
1000001,0.300972
1000001,0.307572
1000001,0.302041
1000001,0.308189
1000001,0.309805
1000001,0.308748
1000001,0.303858
1000001,0.301701
1000001,0.303461
1000001,0.301489
1000001,0.309135
1000001,0.306068
1000001,0.306257
1000001,0.301559
1000001,0.301116
1000001,0.308941
1000001,0.304903
1000001,0.307365
1000001,0.307270
1000001,0.307322
1000001,0.301734
1000001,0.302110
1000001,0.306186
1000001,0.301537
1000001,0.305148
1000001,0.305221
1000001,0.303811
1000001,0.307169
1000001,0.305291
1000001,0.308553
1000001,0.302731
1000001,0.308457
1000001,0.309244
1000001,0.305430
1000001,0.305268
1000001,0.310058
1000001,0.301749
1000001,0.300420
1000001,0.303336
1000001,0.306610
1000001,0.304722
1000001,0.307249
1000001,0.303861
1000001,0.301133
1000001,0.313118
1000001,0.304837
1000001,0.303268
1000001,0.302782
1000001,0.327976
1000001,0.313062
1000001,0.312135
1000001,0.304840
1000001,0.304455
1000001,0.300781
1000001,0.303636
1000001,0.302913
1000001,0.304258
1000001,0.308109
1000001,0.300935
1000001,0.301675
1000001,0.305499
1000001,0.304427
1000001,0.307516
1000001,0.307276
1000001,0.305602
1000001,0.306667
1000001,0.301855
1000001,0.304594
1000001,0.313915
1000001,0.301819
1000001,0.302826
1000001,0.308513
1000001,0.355998
1000001,0.307358
1000001,0.315060
1000001,0.301978
1000001,0.307569
1000001,0.308488
1000001,0.309522
1000001,0.302994
1000001,0.312758
1000001,0.304303
1000001,0.300913
1000001,0.304806
1000001,0.303531
1000001,0.305048
1000001,0.308296
1000001,0.310857
1000001,0.307456
1000001,0.304242
1000001,0.304847
1000001,0.306758
1000001,0.301444
1000001,0.303576
1000001,0.303968
1000001,0.314264
1000001,0.306843
1000001,0.302858
1000001,0.302984
1000001,0.303270
1000001,0.305229
1000001,0.310952
1000001,0.303244
1000001,0.313313
1000001,0.311871
1000001,0.304210
1000001,0.303253
1000001,0.304371
1000001,0.309091
1000001,0.304771
1000001,0.310869
1000001,0.306430
1000001,0.302361
1000001,0.310616
1000001,0.305022
1000001,0.306738
1000001,0.309636
