Size,Seconds
1000001,0.322201
1000001,0.323597
1000001,0.326269
1000001,0.330980
1000001,0.328971
1000001,0.322029
1000001,0.320975
1000001,0.331343
1000001,0.323613
1000001,0.323978
1000001,0.322592
1000001,0.330547
1000001,0.322784
1000001,0.323410
1000001,0.324674
1000001,0.328336
1000001,0.334801
1000001,0.321133
1000001,0.322014
1000001,0.325242
1000001,0.328607
1000001,0.320473
1000001,0.337848
1000001,0.331418
1000001,0.331279
1000001,0.320418
1000001,0.320039
1000001,0.326774
1000001,0.329065
1000001,0.326276
1000001,0.323029
1000001,0.325413
1000001,0.324804
1000001,0.324188
1000001,0.327706
1000001,0.326503
1000001,0.358631
1000001,0.326541
1000001,0.326544
1000001,0.322392
1000001,0.331820
1000001,0.353719
1000001,0.322008
1000001,0.322427
1000001,0.325962
1000001,0.326289
1000001,0.325134
1000001,0.328929
1000001,0.327827
1000001,0.323698
1000001,0.325121
1000001,0.324369
1000001,0.322753
1000001,0.326082
1000001,0.330233
1000001,0.327579
1000001,0.323924
1000001,0.336946
1000001,0.370424
1000001,0.339871
1000001,0.323890
1000001,0.323419
1000001,0.321580
1000001,0.333772
1000001,0.326651
1000001,0.321826
1000001,0.336380
1000001,0.324392
1000001,0.324071
1000001,0.322376
1000001,0.322254
1000001,0.336567
1000001,0.320327
1000001,0.323031
1000001,0.332772
1000001,0.328407
1000001,0.322571
1000001,0.322134
1000001,0.323974
1000001,0.326967
1000001,0.323188
1000001,0.324628
1000001,0.323953
1000001,0.329290
1000001,0.323196
1000001,0.323846
1000001,0.322505
1000001,0.326739
1000001,0.326782
1000001,0.337189
1000001,0.354901
1000001,0.348634
1000001,0.342875
1000001,0.347740
1000001,0.347206
1000001,0.349516
1000001,0.348721
1000001,0.348231
1000001,0.324212
1000001,0.326148
1000001,0.324624
1000001,0.323795
1000001,0.324065
1000001,0.372193
1000001,0.325338
1000001,0.332680
1000001,0.327038
1000001,0.325994
1000001,0.327974
1000001,0.319652
1000001,0.322735
1000001,0.323326
1000001,0.340249
1000001,0.322796
1000001,0.324407
1000001,0.328168
1000001,0.324229
1000001,0.322855
1000001,0.323306
1000001,0.332487
1000001,0.325123
1000001,0.326392
1000001,0.321623
1000001,0.360638
1000001,0.325903
1000001,0.324459
1000001,0.335590
1000001,0.327236
1000001,0.331108
1000001,0.327327
1000001,0.327951
1000001,0.328487
1000001,0.337819
1000001,0.325332
1000001,0.329996
1000001,0.325111
1000001,0.324951
1000001,0.326904
1000001,0.328718
1000001,0.320584
1000001,0.321173
1000001,0.326434
1000001,0.332952
1000001,0.322968
1000001,0.325690
1000001,0.328366
1000001,0.329219
1000001,0.321494
1000001,0.321950
1000001,0.326460
1000001,0.331025
1000001,0.320025
1000001,0.323877
1000001,0.325488
1000001,0.321904
1000001,0.321037
1000001,0.332347
1000001,0.324613
1000001,0.324984
1000001,0.325358
1000001,0.324414
1000001,0.328711
1000001,0.322836
1000001,0.325688
1000001,0.330921
1000001,0.329286
1000001,0.327524
1000001,0.330377
1000001,0.324081
1000001,0.327722
1000001,0.325635
1000001,0.326491
1000001,0.323931
1000001,0.323000
1000001,0.323380
1000001,0.320852
1000001,0.326524
1000001,0.326414
1000001,0.323538
1000001,0.324603
1000001,0.325995
1000001,0.326099
1000001,0.319733
1000001,0.325389
1000001,0.324885
1000001,0.326810
1000001,0.321172
1000001,0.321654
1000001,0.326298
1000001,0.366904
1000001,0.322057
1000001,0.332637
1000001,0.331518
1000001,0.327843
1000001,0.328916
1000001,0.322929
1000001,0.321248
1000001,0.325610
1000001,0.325212
1000001,0.321717
1000001,0.323926
1000001,0.328409
1000001,0.327878
1000001,0.326178
1000001,0.323871
1000001,0.326246
1000001,0.319960
1000001,0.336524
1000001,0.321951
1000001,0.324530
1000001,0.332666
1000001,0.326603
1000001,0.326013
1000001,0.324453
1000001,0.334177
1000001,0.329236
1000001,0.324700
1000001,0.320877
1000001,0.324456
1000001,0.323479
1000001,0.326798
1000001,0.323084
1000001,0.328978
1000001,0.328303
1000001,0.322800
1000001,0.326296
1000001,0.327704
1000001,0.324956
1000001,0.350297
1000001,0.323035
1000001,0.328573
1000001,0.323609
1000001,0.326432
1000001,0.330443
1000001,0.323942
1000001,0.327485
1000001,0.325911
1000001,0.325910
1000001,0.323369
1000001,0.327260
1000001,0.324867
1000001,0.320284
1000001,0.320770
1000001,0.330900
1000001,0.328608
1000001,0.323436
1000001,0.321151
1000001,0.326598
1000001,0.324734
1000001,0.322732
1000001,0.328489
1000001,0.326727
1000001,0.325361
1000001,0.320170
1000001,0.334352
1000001,0.323755
1000001,0.346660
1000001,0.331062
1000001,0.322811
1000001,0.321810
1000001,0.326105
1000001,0.324477
1000001,0.370244
1000001,0.321362
1000001,0.323604
1000001,0.330205
1000001,0.322280
1000001,0.327308
1000001,0.325754
1000001,0.323443
1000001,0.319623
1000001,0.326077
1000001,0.322288
1000001,0.325870
1000001,0.325066
1000001,0.325342
1000001,0.321290
1000001,0.329470
1000001,0.333230
1000001,0.326942
1000001,0.328565
1000001,0.320896
1000001,0.320940
1000001,0.323441
1000001,0.327933
1000001,0.320359
1000001,0.320416
1000001,0.324355
1000001,0.323352
1000001,0.332544
1000001,0.324943
1000001,0.322884
1000001,0.320463
1000001,0.324237
1000001,0.325562
1000001,0.324613
1000001,0.322399
1000001,0.320735
1000001,0.326323
1000001,0.329980
1000001,0.327915
1000001,0.322480
1000001,0.324728
1000001,0.324682
1000001,0.325865
1000001,0.321681
1000001,0.324107
1000001,0.324829
1000001,0.322454
1000001,0.322906
1000001,0.326216
1000001,0.329556
1000001,0.321288
1000001,0.320067
1000001,0.324594
1000001,0.326296
1000001,0.327504
1000001,0.323125
1000001,0.327960
1000001,0.327792
1000001,0.325602
1000001,0.332121
1000001,0.326147
1000001,0.325204
1000001,0.328632
1000001,0.335075
1000001,0.325632
1000001,0.322887
1000001,0.321752
1000001,0.325645
1000001,0.323696
1000001,0.324071
1000001,0.322169
1000001,0.328001
1000001,0.322783
1000001,0.329015
1000001,0.321986
1000001,0.330942
1000001,0.325894
1000001,0.330020
1000001,0.321212
1000001,0.323443
1000001,0.323601
1000001,0.327124
1000001,0.331197
1000001,0.327104
1000001,0.327051
1000001,0.320629
1000001,0.321442
1000001,0.326610
1000001,0.325027
1000001,0.320477
1000001,0.319888
1000001,0.323429
1000001,0.325736
1000001,0.322960
1000001,0.320164
1000001,0.324122
1000001,0.322667
1000001,0.319197
1000001,0.325427
1000001,0.325263
1000001,0.327563
1000001,0.320317
1000001,0.320645
1000001,0.324768
1000001,0.327320
1000001,0.320842
1000001,0.325964
1000001,0.322596
1000001,0.322718
1000001,0.321704
1000001,0.327256
1000001,0.326630
1000001,0.327457
1000001,0.323885
1000001,0.323075
1000001,0.336671
1000001,0.324179
1000001,0.322129
1000001,0.322673
1000001,0.330572
1000001,0.324988
1000001,0.325507
1000001,0.321348
1000001,0.325234
1000001,0.333763
1000001,0.323689
1000001,0.324565
1000001,0.324124
1000001,0.325653
1000001,0.320397
1000001,0.319245
1000001,0.323316
1000001,0.326926
1000001,0.331787
1000001,0.321471
1000001,0.342108
1000001,0.337947
1000001,0.322387
1000001,0.320301
1000001,0.337402
1000001,0.325242
1000001,0.321026
1000001,0.320557
1000001,0.327427
1000001,0.324763
1000001,0.324850
1000001,0.322153
1000001,0.328363
1000001,0.327814
1000001,0.320360
1000001,0.321647
1000001,0.323083
1000001,0.325977
1000001,0.327209
1000001,0.324342
1000001,0.326200
1000001,0.328459
1000001,0.321079
1000001,0.321938
1000001,0.323564
1000001,0.322761
1000001,0.319992
1000001,0.319910
1000001,0.331473
1000001,0.328673
1000001,0.330665
1000001,0.322543
1000001,0.324969
1000001,0.328565
1000001,0.328648
1000001,0.326308
1000001,0.322242
1000001,0.331779
1000001,0.319858
1000001,0.326791
1000001,0.327163
1000001,0.328369
1000001,0.320898
1000001,0.323118
1000001,0.323478
1000001,0.320923
1000001,0.324969
1000001,0.322402
1000001,0.328911
1000001,0.321392
1000001,0.322183
1000001,0.328889
1000001,0.326013
1000001,0.323636
1000001,0.320929
1000001,0.319739
1000001,0.323558
1000001,0.331589
1000001,0.327521
1000001,0.321571
1000001,0.332444
1000001,0.336439
1000001,0.334584
1000001,0.326590
1000001,0.324585
1000001,0.325435
1000001,0.324754
1000001,0.320240
1000001,0.323765
1000001,0.322769
1000001,0.321056
1000001,0.326725
1000001,0.336998
1000001,0.332815
1000001,0.327583
1000001,0.321980
1000001,0.320515
1000001,0.324957
1000001,0.333811
1000001,0.325502
