Size,Seconds
1000001,0.337939
1000001,0.326875
1000001,0.325237
1000001,0.337301
1000001,0.334209
1000001,0.332668
1000001,0.341813
1000001,0.322244
1000001,0.329364
1000001,0.326476
1000001,0.326620
1000001,0.322864
1000001,0.328027
1000001,0.326833
1000001,0.330515
1000001,0.330038
1000001,0.327726
1000001,0.324424
1000001,0.328064
1000001,0.327053
1000001,0.325524
1000001,0.347191
1000001,0.366167
1000001,0.347750
1000001,0.343323
1000001,0.324183
1000001,0.346388
1000001,0.323811
1000001,0.324805
1000001,0.348967
1000001,0.333966
1000001,0.330284
1000001,0.328382
1000001,0.327383
1000001,0.325940
1000001,0.322861
1000001,0.332607
1000001,0.329047
1000001,0.326934
1000001,0.323126
1000001,0.330793
1000001,0.329731
1000001,0.328549
1000001,0.325730
1000001,0.327936
1000001,0.335118
1000001,0.324659
1000001,0.326394
1000001,0.330259
1000001,0.325705
1000001,0.324025
1000001,0.330991
1000001,0.329705
1000001,0.330647
1000001,0.329031
1000001,0.327202
1000001,0.328972
1000001,0.325548
1000001,0.325002
1000001,0.328846
1000001,0.327452
1000001,0.326815
1000001,0.330097
1000001,0.328602
1000001,0.329748
1000001,0.323848
1000001,0.341707
1000001,0.328144
1000001,0.322454
1000001,0.325525
1000001,0.333452
1000001,0.337681
1000001,0.326785
1000001,0.332854
1000001,0.328414
1000001,0.324686
1000001,0.335190
1000001,0.322501
1000001,0.334406
1000001,0.323957
1000001,0.322557
1000001,0.405418
1000001,0.331116
1000001,0.331169
1000001,0.326534
1000001,0.322888
1000001,0.328703
1000001,0.326914
1000001,0.324529
1000001,0.328581
1000001,0.369169
1000001,0.327364
1000001,0.331578
1000001,0.325088
1000001,0.379974
1000001,0.331745
1000001,0.330622
1000001,0.324913
1000001,0.323701
1000001,0.326149
1000001,0.328427
1000001,0.321954
1000001,0.348936
1000001,0.329231
1000001,0.325709
1000001,0.328186
1000001,0.326460
1000001,0.354277
1000001,0.333534
1000001,0.333682
1000001,0.327856
1000001,0.329592
1000001,0.325866
1000001,0.325247
1000001,0.329864
1000001,0.328071
1000001,0.327995
1000001,0.325588
1000001,0.325202
1000001,0.329039
1000001,0.324148
1000001,0.322053
1000001,0.328913
1000001,0.327198
1000001,0.325741
1000001,0.349069
1000001,0.323060
1000001,0.327149
1000001,0.325188
