Size,Seconds
1000000,0.300040
1000,0.000303
100000,0.032840
4999996,1.467162
3999997,1.176367
2999998,0.876095
10000,0.002972
9999991,2.953158
1999999,0.590155
1000000,0.291712
1000,0.000903
100000,0.032606
4999996,1.469506
3999997,1.171661
2999998,0.891337
10000,0.003034
9999991,3.035777
1999999,0.583569
1000000,0.292004
1000,0.000293
100000,0.032708
4999996,1.465520
3999997,1.168565
2999998,0.884457
10000,0.003115
9999991,2.987029
1999999,0.584971
1000000,0.292664
1000,0.000292
100000,0.032249
4999996,1.467048
3999997,1.186307
2999998,0.910651
10000,0.003135
9999991,2.986235
1999999,0.585759
1000000,0.296178
1000,0.000294
100000,0.032118
4999996,1.464201
3999997,1.214203
2999998,0.888374
10000,0.003158
9999991,2.999668
1999999,0.591969
1000000,0.293610
1000,0.000296
100000,0.033026
4999996,1.469240
3999997,1.202570
2999998,0.881120
10000,0.003069
9999991,2.983867
1999999,0.590154
1000000,0.290222
1000,0.000302
100000,0.032422
4999996,1.465633
3999997,1.167802
2999998,0.881932
10000,0.003725
9999991,2.980750
1999999,0.587381
1000000,0.301570
1000,0.000355
100000,0.033245
4999996,1.473391
3999997,1.188765
2999998,0.889294
10000,0.003079
9999991,3.017534
1999999,0.589360
1000000,0.299182
1000,0.000313
100000,0.032461
4999996,1.457231
3999997,1.192030
2999998,0.881859
10000,0.003208
9999991,2.983249
1999999,0.588158
1000000,0.289903
1000,0.000348
100000,0.032165
4999996,1.461956
3999997,1.176207
2999998,0.877864
10000,0.003819
9999991,2.948462
1999999,0.594847
1000000,0.290665
1000,0.000317
100000,0.034626
4999996,1.483728
3999997,1.171042
2999998,0.886296
10000,0.003305
9999991,2.958880
1999999,0.587951
1000000,0.297857
1000,0.000293
100000,0.032001
4999996,1.469887
3999997,1.182302
2999998,0.880988
10000,0.002977
9999991,2.985521
1999999,0.596445
1000000,0.289443
1000,0.000293
100000,0.032520
4999996,1.502171
3999997,1.184981
2999998,0.887995
10000,0.004980
9999991,2.951733
1999999,0.585077
1000000,0.295764
1000,0.000294
100000,0.032395
4999996,1.471726
3999997,1.183196
2999998,0.890474
10000,0.003102
9999991,2.961600
1999999,0.592742
1000000,0.287825
1000,0.000292
100000,0.032065
4999996,1.466093
3999997,1.168297
2999998,0.886502
10000,0.003203
9999991,2.990943
1999999,0.588913
1000000,0.293021
1000,0.000323
100000,0.032345
4999996,1.473472
3999997,1.167935
2999998,0.883674
10000,0.003884
9999991,2.965199
1999999,0.610573
1000000,0.298084
1000,0.000325
100000,0.032608
4999996,1.482453
3999997,1.175060
2999998,0.890085
10000,0.003170
9999991,2.992782
1999999,0.598632
1000000,0.289948
1000,0.000353
100000,0.034763
4999996,1.474170
3999997,1.167760
2999998,0.907507
10000,0.003070
9999991,2.957702
1999999,0.599437
1000000,0.290359
1000,0.000294
100000,0.032298
4999996,1.507660
3999997,1.175360
2999998,0.897907
10000,0.003146
9999991,2.972960
1999999,0.587565
1000000,0.287658
1000,0.000347
100000,0.032111
4999996,1.483014
3999997,1.166443
2999998,0.880038
10000,0.003096
9999991,2.944353
1999999,0.594696
1000000,0.288191
1000,0.000293
100000,0.032167
4999996,1.490405
3999997,1.173508
2999998,0.876948
10000,0.003088
9999991,2.948855
1999999,0.585994
1000000,0.296168
1000,0.000353
100000,0.032066
4999996,1.461673
3999997,1.166997
2999998,0.885144
10000,0.003272
9999991,2.983715
1999999,0.590803
1000000,0.289752
1000,0.000292
100000,0.032131
4999996,1.478752
3999997,1.169321
2999998,0.886569
10000,0.003027
9999991,2.964989
1999999,0.586452
1000000,0.292994
1000,0.000348
100000,0.031965
4999996,1.485053
3999997,1.179908
2999998,0.892170
10000,0.003093
9999991,2.964034
1999999,0.586936
1000000,0.290636
1000,0.000302
100000,0.032401
4999996,1.470146
3999997,1.175256
2999998,0.881703
10000,0.003124
9999991,2.951574
1999999,0.587983
1000000,0.297758
1000,0.000502
100000,0.032268
4999996,1.459528
3999997,1.200195
2999998,0.910209
10000,0.003286
9999991,2.977177
1999999,0.586647
1000000,0.293236
1000,0.000295
100000,0.032083
4999996,1.464023
3999997,1.179340
2999998,0.890671
10000,0.003084
9999991,2.953335
1999999,0.601206
1000000,0.291172
1000,0.000298
100000,0.032135
4999996,1.465720
3999997,1.237070
2999998,0.887640
10000,0.003166
9999991,2.948523
1999999,0.588180
1000000,0.300003
1000,0.000319
100000,0.032036
4999996,1.451432
3999997,1.166533
2999998,0.887230
10000,0.003075
9999991,2.962152
1999999,0.589815
1000000,0.290539
1000,0.000299
100000,0.031893
4999996,1.454905
3999997,1.174577
2999998,0.879622
10000,0.003031
9999991,2.944892
1999999,0.583426
