Size,Seconds
1000001,0.377680
1000001,0.333781
1000001,0.333208
1000001,0.337449
1000001,0.343383
1000001,0.334426
1000001,0.337191
1000001,0.340293
1000001,0.339181
1000001,0.344529
1000001,0.338188
1000001,0.335377
1000001,0.338613
1000001,0.334141
1000001,0.376233
1000001,0.349970
1000001,0.480999
1000001,0.359224
1000001,0.342455
1000001,0.344647
1000001,0.335685
1000001,0.340620
1000001,0.340779
1000001,0.343352
1000001,0.367470
1000001,0.415611
1000001,0.352336
1000001,0.357755
1000001,0.360698
1000001,0.340999
1000001,0.349767
1000001,0.337234
1000001,0.347018
1000001,0.340983
1000001,0.339980
1000001,0.338231
1000001,0.339112
1000001,0.337488
1000001,0.335941
1000001,0.339436
1000001,0.351626
1000001,0.338511
1000001,0.334038
1000001,0.336140
1000001,0.341488
1000001,0.340711
1000001,0.335118
1000001,0.333117
1000001,0.339969
1000001,0.340360
1000001,0.345031
1000001,0.333081
1000001,0.331292
1000001,0.337285
1000001,0.335771
1000001,0.340571
1000001,0.339434
1000001,0.339639
1000001,0.367739
1000001,0.338452
1000001,0.357652
1000001,0.334975
1000001,0.336039
1000001,0.342109
1000001,0.337917
1000001,0.335619
1000001,0.332992
1000001,0.338700
1000001,0.339682
1000001,0.337855
1000001,0.335975
1000001,0.340884
1000001,0.338920
1000001,0.333706
1000001,0.334039
1000001,0.340762
1000001,0.342291
1000001,0.351561
1000001,0.335377
1000001,0.338393
1000001,0.363478
1000001,0.335639
1000001,0.335621
1000001,0.347190
1000001,0.341343
1000001,0.337411
1000001,0.331737
1000001,0.338013
1000001,0.339642
1000001,0.339932
1000001,0.333882
1000001,0.337747
1000001,0.366057
1000001,0.346274
1000001,0.342001
1000001,0.336585
1000001,0.337040
1000001,0.342779
1000001,0.346584
1000001,0.336502
1000001,0.332213
1000001,0.339065
1000001,0.336716
1000001,0.336609
1000001,0.337218
1000001,0.351018
1000001,0.350220
1000001,0.338210
1000001,0.336151
1000001,0.339374
1000001,0.342971
1000001,0.340854
1000001,0.342506
1000001,0.334641
1000001,0.333878
1000001,0.339411
1000001,0.345605
1000001,0.340408
1000001,0.334383
1000001,0.338711
1000001,0.340628
1000001,0.333519
1000001,0.333945
1000001,0.335802
1000001,0.336576
1000001,0.346068
1000001,0.343074
1000001,0.338225
1000001,0.339180
1000001,0.342264
1000001,0.339489
1000001,0.335136
1000001,0.331501
1000001,0.337179
1000001,0.336939
1000001,0.333143
1000001,0.340288
1000001,0.346854
1000001,0.337747
1000001,0.339917
1000001,0.338784
